Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,16 of 35,5 of 17
O0-adce,8 (-1),22 (-6),7 (-2)
O0-alignment-from-assumptions,8 (-1),22 (-6),7 (-2)
O0-bdce,8 (-1),22 (-6),7 (-2)
O0-called-value-propagation,8 (-1),22 (-6),7 (-2)
O0-correlated-propagation,8 (-1),22 (-6),7 (-2)
O0-deadargelim,8 (-1),22 (-6),7 (-2)
O0-div-rem-pairs,8 (-1),22 (-6),7 (-2)
O0-dse,8 (-1),22 (-6),7 (-2)
O0-early-cse,8 (-1),22 (-6),7 (-2)
O0-float2int,8 (-1),22 (-6),7 (-2)
O0-fomit-frame-pointer,6 (1),17 (-1),4 (1)
O0-functionattrs,8 (-1),22 (-6),7 (-2)
O0-globaldce,8 (-1),22 (-6),7 (-2)
O0-globalopt,8 (-1),22 (-6),7 (-2)
O0-indvars,8 (-1),22 (-6),7 (-2)
O0-instcombine,8 (-1),25 (-9),7 (-2)
O0-ipsccp,8 (-1),22 (-6),7 (-2)
O0-jump-threading,8 (-1),26 (-10),8 (-3)
O0-lcssa,8 (-1),22 (-6),7 (-2)
O0-libcalls-shrinkwrap,8 (-1),22 (-6),7 (-2)
O0-licm,8 (-1),21 (-5),7 (-2)
O0-loop-deletion,8 (-1),22 (-6),7 (-2)
O0-loop-distribute,8 (-1),22 (-6),7 (-2)
O0-loop-idiom,8 (-1),22 (-6),7 (-2)
O0-loop-load-elim,8 (-1),22 (-6),7 (-2)
O0-loop-rotate,8 (-1),22 (-6),7 (-2)
O0-loop-simplify,8 (-1),22 (-6),7 (-2)
O0-loop-sink,8 (-1),22 (-6),7 (-2)
O0-loop-unroll,8 (-1),22 (-6),7 (-2)
O0-loop-unswitch,8 (-1),25 (-9),9 (-4)
O0-loop-vectorize,8 (-1),22 (-6),7 (-2)
O0-memcpyopt,8 (-1),22 (-6),7 (-2)
O0-prune-eh,8 (-1),22 (-6),7 (-2)
O0-reassociate,8 (-1),22 (-6),7 (-2)
O0-sccp,8 (-1),22 (-6),7 (-2)
O0-simplifycfg,7 (0),21 (-5),7 (-2)
O0-speculative-execution,8 (-1),22 (-6),7 (-2)
O0-sroa,8 (-1),22 (-6),7 (-2)
O0-strip-dead-prototypes,8 (-1),22 (-6),7 (-2)
O0-tailcallelim,8 (-1),23 (-7),8 (-3)
