Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,223,1.9551569506726458,56,2.3392857142857144,52,1.8269230769230769
O0-adce,279 (-56),1.6379928315412187 (0.31716411913142717),23 (33),1.173913043478261 (1.1653726708074534),34 (18),1.8235294117647058 (0.0033936651583710287)
O0-alignment-from-assumptions,276 (-53),1.6340579710144927 (0.32109897965815315),17 (39),1.4705882352941178 (0.8686974789915967),35 (17),2.3 (-0.47307692307692295)
O0-bdce,275 (-52),1.6254545454545455 (0.32970240521810035),23 (33),1.173913043478261 (1.1653726708074534),34 (18),1.8235294117647058 (0.0033936651583710287)
O0-called-value-propagation,275 (-52),1.6254545454545455 (0.32970240521810035),17 (39),1.4705882352941178 (0.8686974789915967),35 (17),2.3 (-0.47307692307692295)
O0-correlated-propagation,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-deadargelim,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-div-rem-pairs,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-dse,275 (-52),1.6254545454545455 (0.32970240521810035),23 (33),1.173913043478261 (1.1653726708074534),34 (18),1.8235294117647058 (0.0033936651583710287)
O0-early-cse,278 (-55),1.6079136690647482 (0.34724328160789764),24 (32),1.5208333333333333 (0.8184523809523812),30 (22),1.5 (0.32692307692307687)
O0-float2int,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-fomit-frame-pointer,280 (-57),2.0767857142857142 (-0.1216287636130684),47 (9),1.7446808510638299 (0.5946048632218845),57 (-5),1.7280701754385965 (0.09885290148448034)
O0-functionattrs,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-globaldce,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-globalopt,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-indvars,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-instcombine,271 (-48),1.6199261992619927 (0.33523075141065317),15 (41),1.9333333333333333 (0.40595238095238106),32 (20),2.28125 (-0.45432692307692313)
O0-ipsccp,275 (-52),1.6254545454545455 (0.32970240521810035),23 (33),1.173913043478261 (1.1653726708074534),34 (18),1.8235294117647058 (0.0033936651583710287)
O0-jump-threading,277 (-54),1.6407942238267148 (0.31436272684593103),16 (40),1.9375 (0.4017857142857144),36 (16),2.3055555555555554 (-0.4786324786324785)
O0-lcssa,275 (-52),1.6254545454545455 (0.32970240521810035),23 (33),1.173913043478261 (1.1653726708074534),34 (18),1.8235294117647058 (0.0033936651583710287)
O0-libcalls-shrinkwrap,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-licm,278 (-55),1.5989208633093526 (0.35623608736329326),26 (30),1.1730769230769231 (1.1662087912087913),19 (33),1.6578947368421053 (0.16902834008097156)
O0-loop-deletion,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-distribute,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
O0-loop-idiom,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-load-elim,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-rotate,302 (-79),1.6837748344370862 (0.27138211623555963),14 (42),1.5 (0.8392857142857144),35 (17),2.6142857142857143 (-0.7873626373626375)
O0-loop-simplify,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-sink,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-unroll,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-unswitch,276 (-53),1.6123188405797102 (0.34283811009293563),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-loop-vectorize,270 (-47),1.6333333333333333 (0.32182361733931253),17 (39),1.7941176470588236 (0.5451680672268908),32 (20),1.640625 (0.18629807692307687)
O0-memcpyopt,273 (-50),1.6263736263736264 (0.32878332429901946),18 (38),1.6666666666666667 (0.6726190476190477),37 (15),1.5 (0.32692307692307687)
