Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,335,223,56,52,4
O0-adce,338 (-3; -0.9%),279 (-56; -25.1%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-alignment-from-assumptions,330 (5; 1.5%),276 (-53; -23.8%),17 (39; 69.6%),35 (17; 32.7%),2 (2; 50.0%)
O0-bdce,334 (1; 0.3%),275 (-52; -23.3%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-called-value-propagation,329 (6; 1.8%),275 (-52; -23.3%),17 (39; 69.6%),35 (17; 32.7%),2 (2; 50.0%)
O0-correlated-propagation,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-deadargelim,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-div-rem-pairs,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-dse,334 (1; 0.3%),275 (-52; -23.3%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-early-cse,334 (1; 0.3%),278 (-55; -24.7%),24 (32; 57.1%),30 (22; 42.3%),2 (2; 50.0%)
O0-float2int,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-fomit-frame-pointer,391 (-56; -16.7%),280 (-57; -25.6%),47 (9; 16.1%),57 (-5; -9.6%),7 (-3; -75.0%)
O0-functionattrs,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-globaldce,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-globalopt,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-indvars,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-instcombine,321 (14; 4.2%),271 (-48; -21.5%),15 (41; 73.2%),32 (20; 38.5%),3 (1; 25.0%)
O0-ipsccp,334 (1; 0.3%),275 (-52; -23.3%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-jump-threading,331 (4; 1.2%),277 (-54; -24.2%),16 (40; 71.4%),36 (16; 30.8%),2 (2; 50.0%)
O0-lcssa,334 (1; 0.3%),275 (-52; -23.3%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-libcalls-shrinkwrap,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-licm,325 (10; 3.0%),278 (-55; -24.7%),26 (30; 53.6%),19 (33; 63.5%),2 (2; 50.0%)
O0-loop-deletion,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-distribute,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-loop-idiom,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-load-elim,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-rotate,353 (-18; -5.4%),302 (-79; -35.4%),14 (42; 75.0%),35 (17; 32.7%),2 (2; 50.0%)
O0-loop-simplify,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-sink,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-unroll,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-unswitch,326 (9; 2.7%),276 (-53; -23.8%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-loop-vectorize,320 (15; 4.5%),270 (-47; -21.1%),17 (39; 69.6%),32 (20; 38.5%),1 (3; 75.0%)
O0-memcpyopt,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-prune-eh,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-reassociate,326 (9; 2.7%),267 (-44; -19.7%),24 (32; 57.1%),33 (19; 36.5%),2 (2; 50.0%)
O0-sccp,334 (1; 0.3%),275 (-52; -23.3%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-simplifycfg,310 (25; 7.5%),262 (-39; -17.5%),21 (35; 62.5%),26 (26; 50.0%),1 (3; 75.0%)
O0-speculative-execution,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-sroa,334 (1; 0.3%),275 (-52; -23.3%),23 (33; 58.9%),34 (18; 34.6%),2 (2; 50.0%)
O0-strip-dead-prototypes,330 (5; 1.5%),273 (-50; -22.4%),18 (38; 67.9%),37 (15; 28.8%),2 (2; 50.0%)
O0-tailcallelim,355 (-20; -6.0%),292 (-69; -30.9%),27 (29; 51.8%),24 (28; 53.8%),12 (-8; -200.0%)
