Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,335, ,223, ,56, ,52
O0-adce,338,89.9%,279,87.8%,23,100.0%,34,100.0%
O0-alignment-from-assumptions,330,89.7%,276,87.7%,17,100.0%,35,100.0%
O0-bdce,334,89.8%,275,87.6%,23,100.0%,34,100.0%
O0-called-value-propagation,329,89.7%,275,87.6%,17,100.0%,35,100.0%
O0-correlated-propagation,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-deadargelim,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-div-rem-pairs,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-dse,334,89.8%,275,87.6%,23,100.0%,34,100.0%
O0-early-cse,334,89.8%,278,87.8%,24,100.0%,30,100.0%
O0-float2int,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-fomit-frame-pointer,391,91.6%,280,89.6%,47,93.6%,57,100.0%
O0-functionattrs,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-globaldce,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-globalopt,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-indvars,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-instcombine,321,89.7%,271,87.8%,15,100.0%,32,100.0%
O0-ipsccp,334,89.8%,275,87.6%,23,100.0%,34,100.0%
O0-jump-threading,331,90.0%,277,88.1%,16,100.0%,36,100.0%
O0-lcssa,334,89.8%,275,87.6%,23,100.0%,34,100.0%
O0-libcalls-shrinkwrap,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-licm,325,89.5%,278,87.8%,26,100.0%,19,100.0%
O0-loop-deletion,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-loop-distribute,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-loop-idiom,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-loop-load-elim,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-loop-rotate,353,90.4%,302,88.7%,14,100.0%,35,100.0%
O0-loop-simplify,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-loop-sink,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-loop-unroll,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-loop-unswitch,326,89.6%,276,87.7%,17,100.0%,32,100.0%
O0-loop-vectorize,320,89.4%,270,87.4%,17,100.0%,32,100.0%
O0-memcpyopt,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-prune-eh,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-reassociate,326,89.6%,267,87.3%,24,100.0%,33,100.0%
O0-sccp,334,89.8%,275,87.6%,23,100.0%,34,100.0%
O0-simplifycfg,310,89.0%,262,87.0%,21,100.0%,26,100.0%
O0-speculative-execution,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-sroa,334,89.8%,275,87.6%,23,100.0%,34,100.0%
O0-strip-dead-prototypes,330,89.7%,273,87.5%,18,100.0%,37,100.0%
O0-tailcallelim,355,90.4%,292,88.4%,27,100.0%,24,100.0%
