Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,6 of 11,11 of 35,5 of 17
O0-adce,7 (-1),12 (-1),7 (-2)
O0-alignment-from-assumptions,7 (-1),11 (0),7 (-2)
O0-bdce,7 (-1),12 (-1),7 (-2)
O0-called-value-propagation,7 (-1),11 (0),7 (-2)
O0-correlated-propagation,7 (-1),11 (0),7 (-2)
O0-deadargelim,7 (-1),12 (-1),7 (-2)
O0-div-rem-pairs,7 (-1),11 (0),7 (-2)
O0-dse,7 (-1),11 (0),7 (-2)
O0-early-cse,7 (-1),12 (-1),7 (-2)
O0-float2int,7 (-1),11 (0),7 (-2)
O0-fomit-frame-pointer,7 (-1),18 (-7),5 (0)
O0-functionattrs,7 (-1),11 (0),7 (-2)
O0-globaldce,7 (-1),11 (0),7 (-2)
O0-globalopt,7 (-1),11 (0),7 (-2)
O0-indvars,7 (-1),12 (-1),7 (-2)
O0-instcombine,6 (0),12 (-1),8 (-3)
O0-ipsccp,7 (-1),11 (0),7 (-2)
O0-jump-threading,7 (-1),11 (0),6 (-1)
O0-lcssa,7 (-1),11 (0),7 (-2)
O0-libcalls-shrinkwrap,7 (-1),11 (0),7 (-2)
O0-licm,6 (0),22 (-11),8 (-3)
O0-loop-deletion,7 (-1),12 (-1),7 (-2)
O0-loop-distribute,7 (-1),11 (0),7 (-2)
O0-loop-idiom,7 (-1),12 (-1),7 (-2)
O0-loop-load-elim,7 (-1),12 (-1),7 (-2)
O0-loop-rotate,6 (0),11 (0),5 (0)
O0-loop-simplify,7 (-1),12 (-1),7 (-2)
O0-loop-sink,7 (-1),12 (-1),7 (-2)
O0-loop-unroll,7 (-1),12 (-1),7 (-2)
O0-loop-unswitch,7 (-1),12 (-1),7 (-2)
O0-loop-vectorize,7 (-1),12 (-1),7 (-2)
O0-memcpyopt,7 (-1),11 (0),7 (-2)
O0-prune-eh,7 (-1),11 (0),7 (-2)
O0-reassociate,8 (-2),13 (-2),7 (-2)
O0-sccp,7 (-1),11 (0),7 (-2)
O0-simplifycfg,7 (-1),12 (-1),7 (-2)
O0-speculative-execution,7 (-1),11 (0),7 (-2)
O0-sroa,6 (0),20 (-9),7 (-2)
O0-strip-dead-prototypes,7 (-1),11 (0),7 (-2)
O0-tailcallelim,7 (-1),8 (3),7 (-2)
