Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,238,1.7878151260504203,47,1.851063829787234,60,2.025
O0-adce,256 (-18),1.845703125 (-0.057887998949579744),34 (13),1.6764705882352942 (0.17459324155193978),31 (29),2.4838709677419355 (-0.4588709677419356)
O0-alignment-from-assumptions,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-bdce,256 (-18),1.845703125 (-0.057887998949579744),34 (13),1.6764705882352942 (0.17459324155193978),31 (29),2.4838709677419355 (-0.4588709677419356)
O0-called-value-propagation,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-correlated-propagation,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-deadargelim,254 (-16),1.8641732283464567 (-0.07635810229603646),35 (12),1.2857142857142858 (0.5653495440729481),30 (30),2.566666666666667 (-0.541666666666667)
O0-div-rem-pairs,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-dse,250 (-12),1.858 (-0.07018487394957984),33 (14),1.378787878787879 (0.47227595099935504),31 (29),2.4838709677419355 (-0.4588709677419356)
O0-early-cse,271 (-33),1.9132841328413284 (-0.1254690067909081),29 (18),1.603448275862069 (0.247615553925165),31 (29),2.161290322580645 (-0.1362903225806451)
O0-float2int,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-fomit-frame-pointer,317 (-79),1.8485804416403786 (-0.060765315589958346),33 (14),1.303030303030303 (0.548033526756931),57 (3),2.2280701754385963 (-0.2030701754385964)
O0-functionattrs,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-globaldce,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-globalopt,252 (-14),1.8551587301587302 (-0.06734360410830997),32 (15),1.6875 (0.16356382978723394),37 (23),2.3513513513513513 (-0.3263513513513514)
O0-indvars,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-instcombine,241 (-3),1.896265560165975 (-0.10845043411555477),38 (9),1.1842105263157894 (0.6668533034714446),31 (29),2.370967741935484 (-0.3459677419354841)
O0-ipsccp,247 (-9),1.8562753036437247 (-0.06846017759330447),41 (6),1.524390243902439 (0.3266735858847949),27 (33),2.314814814814815 (-0.28981481481481497)
O0-jump-threading,265 (-27),1.8867924528301887 (-0.09897732677976845),35 (12),1.7 (0.15106382978723398),30 (30),2.7 (-0.6750000000000003)
O0-lcssa,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-libcalls-shrinkwrap,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-licm,307 (-69),1.799674267100977 (-0.011859141050556854),48 (-1),1.2708333333333333 (0.5802304964539007),54 (6),2.509259259259259 (-0.48425925925925917)
O0-loop-deletion,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-distribute,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-loop-idiom,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-load-elim,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-rotate,242 (-4),1.8409090909090908 (-0.05309396485867057),28 (19),1.3571428571428572 (0.49392097264437673),40 (20),2.1125 (-0.08749999999999991)
O0-loop-simplify,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-sink,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-unroll,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-unswitch,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-loop-vectorize,246 (-8),1.8231707317073171 (-0.03535560565689688),32 (15),1.515625 (0.33543882978723394),33 (27),2.878787878787879 (-0.853787878787879)
O0-memcpyopt,248 (-10),1.8548387096774193 (-0.067023583626999),34 (13),1.2352941176470589 (0.6157697121401751),31 (29),2.3225806451612905 (-0.29758064516129057)
O0-prune-eh,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-reassociate,242 (-4),1.8698347107438016 (-0.08201958469338133),37 (10),1.2432432432432432 (0.6078205865439907),37 (23),2.7027027027027026 (-0.6777027027027027)
O0-sccp,248 (-10),1.8306451612903225 (-0.04283003523990225),40 (7),1.625 (0.22606382978723394),35 (25),2.4714285714285715 (-0.4464285714285716)
O0-simplifycfg,259 (-21),1.7857142857142858 (0.0021008403361344463),31 (16),1.3387096774193548 (0.5123541523678792),41 (19),2.451219512195122 (-0.426219512195122)
O0-speculative-execution,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-sroa,311 (-73),1.712218649517685 (0.07559647653273527),60 (-13),1.6333333333333333 (0.21773049645390063),21 (39),2.0238095238095237 (0.0011904761904761862)
O0-strip-dead-prototypes,250 (-12),1.854 (-0.06618487394957984),33 (14),1.378787878787879 (0.47227595099935504),36 (24),2.2777777777777777 (-0.25277777777777777)
O0-tailcallelim,244 (-6),1.8831967213114753 (-0.09538159526105505),40 (7),1.55 (0.3010638297872339),41 (19),2.8536585365853657 (-0.8286585365853658)
