Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,350,238,47,60,5
O0-adce,325 (25; 7.1%),256 (-18; -7.6%),34 (13; 27.7%),31 (29; 48.3%),4 (1; 20.0%)
O0-alignment-from-assumptions,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-bdce,325 (25; 7.1%),256 (-18; -7.6%),34 (13; 27.7%),31 (29; 48.3%),4 (1; 20.0%)
O0-called-value-propagation,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-correlated-propagation,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-deadargelim,322 (28; 8.0%),254 (-16; -6.7%),35 (12; 25.5%),30 (30; 50.0%),3 (2; 40.0%)
O0-div-rem-pairs,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-dse,317 (33; 9.4%),250 (-12; -5.0%),33 (14; 29.8%),31 (29; 48.3%),3 (2; 40.0%)
O0-early-cse,338 (12; 3.4%),271 (-33; -13.9%),29 (18; 38.3%),31 (29; 48.3%),7 (-2; -40.0%)
O0-float2int,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-fomit-frame-pointer,414 (-64; -18.3%),317 (-79; -33.2%),33 (14; 29.8%),57 (3; 5.0%),7 (-2; -40.0%)
O0-functionattrs,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-globaldce,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-globalopt,324 (26; 7.4%),252 (-14; -5.9%),32 (15; 31.9%),37 (23; 38.3%),3 (2; 40.0%)
O0-indvars,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-instcombine,315 (35; 10.0%),241 (-3; -1.3%),38 (9; 19.1%),31 (29; 48.3%),5 (0; 0.0%)
O0-ipsccp,318 (32; 9.1%),247 (-9; -3.8%),41 (6; 12.8%),27 (33; 55.0%),3 (2; 40.0%)
O0-jump-threading,335 (15; 4.3%),265 (-27; -11.3%),35 (12; 25.5%),30 (30; 50.0%),5 (0; 0.0%)
O0-lcssa,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-libcalls-shrinkwrap,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-licm,415 (-65; -18.6%),307 (-69; -29.0%),48 (-1; -2.1%),54 (6; 10.0%),6 (-1; -20.0%)
O0-loop-deletion,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-distribute,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-loop-idiom,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-load-elim,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-rotate,313 (37; 10.6%),242 (-4; -1.7%),28 (19; 40.4%),40 (20; 33.3%),3 (2; 40.0%)
O0-loop-simplify,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-sink,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-unroll,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-unswitch,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-loop-vectorize,314 (36; 10.3%),246 (-8; -3.4%),32 (15; 31.9%),33 (27; 45.0%),3 (2; 40.0%)
O0-memcpyopt,317 (33; 9.4%),248 (-10; -4.2%),34 (13; 27.7%),31 (29; 48.3%),4 (1; 20.0%)
O0-prune-eh,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-reassociate,319 (31; 8.9%),242 (-4; -1.7%),37 (10; 21.3%),37 (23; 38.3%),3 (2; 40.0%)
O0-sccp,326 (24; 6.9%),248 (-10; -4.2%),40 (7; 14.9%),35 (25; 41.7%),3 (2; 40.0%)
O0-simplifycfg,335 (15; 4.3%),259 (-21; -8.8%),31 (16; 34.0%),41 (19; 31.7%),4 (1; 20.0%)
O0-speculative-execution,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-sroa,394 (-44; -12.6%),311 (-73; -30.7%),60 (-13; -27.7%),21 (39; 65.0%),2 (3; 60.0%)
O0-strip-dead-prototypes,323 (27; 7.7%),250 (-12; -5.0%),33 (14; 29.8%),36 (24; 40.0%),4 (1; 20.0%)
O0-tailcallelim,330 (20; 5.7%),244 (-6; -2.5%),40 (7; 14.9%),41 (19; 31.7%),5 (0; 0.0%)
