Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,350, ,238, ,47, ,60
O0-adce,325,31.1%,256,21.1%,34,79.4%,31,54.8%
O0-alignment-from-assumptions,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-bdce,325,31.1%,256,21.1%,34,79.4%,31,54.8%
O0-called-value-propagation,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-correlated-propagation,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-deadargelim,322,34.8%,254,26.0%,35,80.0%,30,53.3%
O0-div-rem-pairs,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-dse,317,30.6%,250,20.8%,33,78.8%,31,54.8%
O0-early-cse,338,50.0%,271,43.9%,29,79.3%,31,67.7%
O0-float2int,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-fomit-frame-pointer,414,89.4%,317,89.6%,33,100.0%,57,82.5%
O0-functionattrs,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-globaldce,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-globalopt,324,32.1%,252,21.4%,32,78.1%,37,62.2%
O0-indvars,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-instcombine,315,49.2%,241,36.9%,38,94.7%,31,83.9%
O0-ipsccp,318,30.5%,247,19.4%,41,82.9%,27,48.1%
O0-jump-threading,335,40.3%,265,31.3%,35,80.0%,30,66.7%
O0-lcssa,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-libcalls-shrinkwrap,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-licm,415,55.7%,307,44.6%,48,95.8%,54,79.6%
O0-loop-deletion,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-distribute,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-loop-idiom,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-load-elim,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-rotate,313,31.0%,242,19.8%,28,75.0%,40,65.0%
O0-loop-simplify,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-sink,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-unroll,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-unswitch,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-loop-vectorize,314,29.3%,246,18.7%,32,78.1%,33,57.6%
O0-memcpyopt,317,30.0%,248,19.4%,34,79.4%,31,54.8%
O0-prune-eh,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-reassociate,319,31.7%,242,19.0%,37,81.1%,37,62.2%
O0-sccp,326,31.9%,248,19.4%,40,82.5%,35,60.0%
O0-simplifycfg,335,41.8%,259,33.2%,31,77.4%,41,65.9%
O0-speculative-execution,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-sroa,394,66.8%,311,60.1%,60,96.7%,21,81.0%
O0-strip-dead-prototypes,323,31.9%,250,20.8%,33,78.8%,36,61.1%
O0-tailcallelim,330,33.9%,244,19.7%,40,82.5%,41,65.9%
