Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,31 of 35,15 of 17
O0-adce,10 (-2),33 (-2),15 (0)
O0-alignment-from-assumptions,9 (-1),32 (-1),14 (1)
O0-bdce,10 (-2),33 (-2),15 (0)
O0-called-value-propagation,9 (-1),32 (-1),14 (1)
O0-correlated-propagation,9 (-1),32 (-1),14 (1)
O0-deadargelim,9 (-1),32 (-1),14 (1)
O0-div-rem-pairs,9 (-1),32 (-1),14 (1)
O0-dse,10 (-2),33 (-2),15 (0)
O0-early-cse,9 (-1),32 (-1),14 (1)
O0-float2int,9 (-1),32 (-1),14 (1)
O0-fomit-frame-pointer,7 (1),29 (2),14 (1)
O0-functionattrs,9 (-1),32 (-1),14 (1)
O0-globaldce,9 (-1),32 (-1),14 (1)
O0-globalopt,9 (-1),32 (-1),14 (1)
O0-indvars,10 (-2),33 (-2),15 (0)
O0-instcombine,9 (-1),32 (-1),14 (1)
O0-ipsccp,10 (-2),33 (-2),15 (0)
O0-jump-threading,9 (-1),32 (-1),14 (1)
O0-lcssa,10 (-2),33 (-2),15 (0)
O0-libcalls-shrinkwrap,9 (-1),32 (-1),14 (1)
O0-licm,10 (-2),33 (-2),15 (0)
O0-loop-deletion,9 (-1),32 (-1),14 (1)
O0-loop-distribute,9 (-1),32 (-1),14 (1)
O0-loop-idiom,9 (-1),33 (-2),15 (0)
O0-loop-load-elim,9 (-1),32 (-1),14 (1)
O0-loop-rotate,9 (-1),32 (-1),14 (1)
O0-loop-simplify,9 (-1),32 (-1),14 (1)
O0-loop-sink,9 (-1),32 (-1),14 (1)
O0-loop-unroll,9 (-1),32 (-1),14 (1)
O0-loop-unswitch,9 (-1),32 (-1),14 (1)
O0-loop-vectorize,9 (-1),32 (-1),14 (1)
O0-memcpyopt,9 (-1),32 (-1),14 (1)
O0-prune-eh,9 (-1),32 (-1),14 (1)
O0-reassociate,9 (-1),32 (-1),14 (1)
O0-sccp,10 (-2),33 (-2),15 (0)
O0-simplifycfg,9 (-1),32 (-1),14 (1)
O0-speculative-execution,9 (-1),32 (-1),14 (1)
O0-sroa,10 (-2),33 (-2),15 (0)
O0-strip-dead-prototypes,9 (-1),32 (-1),14 (1)
O0-tailcallelim,9 (-1),32 (-1),14 (1)
