Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,1389,1.668106551475882,731,1.8604651162790697,2021,2.1298861949529937
O0-adce,1419 (-30),1.6042988019732205 (0.06380774950266144),642 (89),1.2609034267912773 (0.5995616894877924),999 (1022),1.397897897897898 (0.7319882970550957)
O0-alignment-from-assumptions,1427 (-38),1.6271899088997899 (0.040916642576092066),616 (115),1.3774350649350648 (0.4830300513440049),996 (1025),1.3694779116465863 (0.7604082833064074)
O0-bdce,1419 (-30),1.6042988019732205 (0.06380774950266144),642 (89),1.2609034267912773 (0.5995616894877924),999 (1022),1.397897897897898 (0.7319882970550957)
O0-called-value-propagation,1412 (-23),1.6189801699716715 (0.04912638150421045),642 (89),1.4789719626168225 (0.38149315366224723),995 (1026),1.3165829145728642 (0.8133032803801294)
O0-correlated-propagation,1423 (-34),1.612789880534083 (0.05531667094179893),640 (91),1.4828125 (0.37765261627906965),985 (1036),1.315736040609137 (0.8141501543438567)
O0-deadargelim,1416 (-27),1.60840395480226 (0.05970259667362199),662 (69),1.501510574018127 (0.3589545422609428),1056 (965),1.3513257575757576 (0.7785604373772361)
O0-div-rem-pairs,1419 (-30),1.6124031007751938 (0.05570345070068816),656 (75),1.4253048780487805 (0.43516023823028926),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-dse,1409 (-20),1.6110716820440028 (0.05703486943187919),640 (91),1.25859375 (0.6018713662790698),999 (1022),1.397897897897898 (0.7319882970550957)
O0-early-cse,1405 (-16),1.603914590747331 (0.06419196072855105),663 (68),1.3951734539969833 (0.4652916622820864),1004 (1017),1.3057768924302788 (0.8241093025227149)
O0-float2int,1405 (-16),1.603914590747331 (0.06419196072855105),663 (68),1.3951734539969833 (0.4652916622820864),1004 (1017),1.3057768924302788 (0.8241093025227149)
O0-fomit-frame-pointer,1673 (-284),1.9282725642558278 (-0.2601660127799459),832 (-101),1.9861778846153846 (-0.12571276833631484),1104 (917),1.735054347826087 (0.3948318471269068)
O0-functionattrs,1419 (-30),1.6124031007751938 (0.05570345070068816),656 (75),1.4253048780487805 (0.43516023823028926),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-globaldce,1405 (-16),1.603914590747331 (0.06419196072855105),663 (68),1.3951734539969833 (0.4652916622820864),1004 (1017),1.3057768924302788 (0.8241093025227149)
O0-globalopt,1405 (-16),1.603914590747331 (0.06419196072855105),663 (68),1.3951734539969833 (0.4652916622820864),1004 (1017),1.3057768924302788 (0.8241093025227149)
O0-indvars,1416 (-27),1.597457627118644 (0.07064892435723791),666 (65),1.3903903903903905 (0.47007472588867927),1006 (1015),1.3141153081510935 (0.8157708868019002)
O0-instcombine,1416 (-27),1.60840395480226 (0.05970259667362199),662 (69),1.501510574018127 (0.3589545422609428),1056 (965),1.3513257575757576 (0.7785604373772361)
O0-ipsccp,1407 (-18),1.59772565742715 (0.07038089404873205),666 (65),1.3903903903903905 (0.47007472588867927),1004 (1017),1.3147410358565736 (0.81514515909642)
O0-jump-threading,1426 (-37),1.6157082748948106 (0.052398276581071324),658 (73),1.4300911854103344 (0.4303739308687353),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-lcssa,1412 (-23),1.608356940509915 (0.05974961096596698),640 (91),1.25859375 (0.6018713662790698),999 (1022),1.397897897897898 (0.7319882970550957)
O0-libcalls-shrinkwrap,1428 (-39),1.6176470588235294 (0.0504594926523525),636 (95),1.4614779874213837 (0.39898712885768606),1020 (1001),1.3769607843137255 (0.7529254106392682)
O0-licm,1419 (-30),1.6042988019732205 (0.06380774950266144),642 (89),1.2609034267912773 (0.5995616894877924),999 (1022),1.397897897897898 (0.7319882970550957)
O0-loop-deletion,1419 (-30),1.6124031007751938 (0.05570345070068816),656 (75),1.4253048780487805 (0.43516023823028926),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-loop-distribute,1430 (-41),1.6087412587412588 (0.0593652927346231),659 (72),1.4233687405159332 (0.43709637576313654),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-loop-idiom,1435 (-46),1.6114982578397212 (0.05660829363616071),662 (69),1.4954682779456194 (0.3649968383334503),1056 (965),1.3541666666666667 (0.775719528286327)
O0-loop-load-elim,1422 (-33),1.6082981715893108 (0.05980837988657117),658 (73),1.4300911854103344 (0.4303739308687353),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-loop-rotate,1416 (-27),1.60840395480226 (0.05970259667362199),662 (69),1.501510574018127 (0.3589545422609428),1056 (965),1.3513257575757576 (0.7785604373772361)
O0-loop-simplify,1419 (-30),1.6124031007751938 (0.05570345070068816),656 (75),1.4253048780487805 (0.43516023823028926),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-loop-sink,1405 (-16),1.603914590747331 (0.06419196072855105),663 (68),1.3951734539969833 (0.4652916622820864),1004 (1017),1.3057768924302788 (0.8241093025227149)
O0-loop-unroll,1416 (-27),1.60840395480226 (0.05970259667362199),662 (69),1.501510574018127 (0.3589545422609428),1056 (965),1.3513257575757576 (0.7785604373772361)
O0-loop-unswitch,1419 (-30),1.6124031007751938 (0.05570345070068816),656 (75),1.4253048780487805 (0.43516023823028926),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-loop-vectorize,1422 (-33),1.6082981715893108 (0.05980837988657117),658 (73),1.4300911854103344 (0.4303739308687353),1039 (982),1.3642925890279114 (0.7655936059250823)
O0-memcpyopt,1405 (-16),1.603914590747331 (0.06419196072855105),663 (68),1.3951734539969833 (0.4652916622820864),1004 (1017),1.3057768924302788 (0.8241093025227149)
O0-prune-eh,1412 (-23),1.6055240793201133 (0.06258247215576862),661 (70),1.3872919818456884 (0.4731731344333814),1002 (1019),1.3063872255489022 (0.8234989694040915)
O0-reassociate,1417 (-28),1.6079745942131263 (0.060131957262755664),662 (69),1.501510574018127 (0.3589545422609428),1056 (965),1.3513257575757576 (0.7785604373772361)
O0-sccp,1419 (-30),1.6042988019732205 (0.06380774950266144),642 (89),1.2609034267912773 (0.5995616894877924),999 (1022),1.397897897897898 (0.7319882970550957)
O0-simplifycfg,1416 (-27),1.60840395480226 (0.05970259667362199),662 (69),1.501510574018127 (0.3589545422609428),1056 (965),1.3513257575757576 (0.7785604373772361)
O0-speculative-execution,1436 (-47),1.6149025069637883 (0.053204044512093596),637 (94),1.4607535321821037 (0.39971158409696605),1020 (1001),1.3769607843137255 (0.7529254106392682)
O0-sroa,1420 (-31),1.603169014084507 (0.06493753739137498),642 (89),1.2609034267912773 (0.5995616894877924),999 (1022),1.397897897897898 (0.7319882970550957)
O0-strip-dead-prototypes,1440 (-51),1.6166666666666667 (0.05143988480921524),637 (94),1.4607535321821037 (0.39971158409696605),1020 (1001),1.3769607843137255 (0.7529254106392682)
O0-tailcallelim,1426 (-37),1.6041374474053296 (0.06396910407055234),660 (71),1.496969696969697 (0.3634954193093727),1054 (967),1.3500948766603416 (0.7797913182926521)
