Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4229,1389,731,2021,88
O0-adce,3106 (1123; 26.6%),1419 (-30; -2.2%),642 (89; 12.2%),999 (1022; 50.6%),46 (42; 47.7%)
O0-alignment-from-assumptions,3096 (1133; 26.8%),1427 (-38; -2.7%),616 (115; 15.7%),996 (1025; 50.7%),57 (31; 35.2%)
O0-bdce,3106 (1123; 26.6%),1419 (-30; -2.2%),642 (89; 12.2%),999 (1022; 50.6%),46 (42; 47.7%)
O0-called-value-propagation,3109 (1120; 26.5%),1412 (-23; -1.7%),642 (89; 12.2%),995 (1026; 50.8%),60 (28; 31.8%)
O0-correlated-propagation,3108 (1121; 26.5%),1423 (-34; -2.4%),640 (91; 12.4%),985 (1036; 51.3%),60 (28; 31.8%)
O0-deadargelim,3188 (1041; 24.6%),1416 (-27; -1.9%),662 (69; 9.4%),1056 (965; 47.7%),54 (34; 38.6%)
O0-div-rem-pairs,3161 (1068; 25.3%),1419 (-30; -2.2%),656 (75; 10.3%),1039 (982; 48.6%),47 (41; 46.6%)
O0-dse,3093 (1136; 26.9%),1409 (-20; -1.4%),640 (91; 12.4%),999 (1022; 50.6%),45 (43; 48.9%)
O0-early-cse,3119 (1110; 26.2%),1405 (-16; -1.2%),663 (68; 9.3%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-float2int,3119 (1110; 26.2%),1405 (-16; -1.2%),663 (68; 9.3%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-fomit-frame-pointer,3677 (552; 13.1%),1673 (-284; -20.4%),832 (-101; -13.8%),1104 (917; 45.4%),68 (20; 22.7%)
O0-functionattrs,3161 (1068; 25.3%),1419 (-30; -2.2%),656 (75; 10.3%),1039 (982; 48.6%),47 (41; 46.6%)
O0-globaldce,3119 (1110; 26.2%),1405 (-16; -1.2%),663 (68; 9.3%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-globalopt,3119 (1110; 26.2%),1405 (-16; -1.2%),663 (68; 9.3%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-indvars,3135 (1094; 25.9%),1416 (-27; -1.9%),666 (65; 8.9%),1006 (1015; 50.2%),47 (41; 46.6%)
O0-instcombine,3188 (1041; 24.6%),1416 (-27; -1.9%),662 (69; 9.4%),1056 (965; 47.7%),54 (34; 38.6%)
O0-ipsccp,3124 (1105; 26.1%),1407 (-18; -1.3%),666 (65; 8.9%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-jump-threading,3170 (1059; 25.0%),1426 (-37; -2.7%),658 (73; 10.0%),1039 (982; 48.6%),47 (41; 46.6%)
O0-lcssa,3096 (1133; 26.8%),1412 (-23; -1.7%),640 (91; 12.4%),999 (1022; 50.6%),45 (43; 48.9%)
O0-libcalls-shrinkwrap,3133 (1096; 25.9%),1428 (-39; -2.8%),636 (95; 13.0%),1020 (1001; 49.5%),49 (39; 44.3%)
O0-licm,3106 (1123; 26.6%),1419 (-30; -2.2%),642 (89; 12.2%),999 (1022; 50.6%),46 (42; 47.7%)
O0-loop-deletion,3161 (1068; 25.3%),1419 (-30; -2.2%),656 (75; 10.3%),1039 (982; 48.6%),47 (41; 46.6%)
O0-loop-distribute,3175 (1054; 24.9%),1430 (-41; -3.0%),659 (72; 9.8%),1039 (982; 48.6%),47 (41; 46.6%)
O0-loop-idiom,3208 (1021; 24.1%),1435 (-46; -3.3%),662 (69; 9.4%),1056 (965; 47.7%),55 (33; 37.5%)
O0-loop-load-elim,3166 (1063; 25.1%),1422 (-33; -2.4%),658 (73; 10.0%),1039 (982; 48.6%),47 (41; 46.6%)
O0-loop-rotate,3188 (1041; 24.6%),1416 (-27; -1.9%),662 (69; 9.4%),1056 (965; 47.7%),54 (34; 38.6%)
O0-loop-simplify,3161 (1068; 25.3%),1419 (-30; -2.2%),656 (75; 10.3%),1039 (982; 48.6%),47 (41; 46.6%)
O0-loop-sink,3119 (1110; 26.2%),1405 (-16; -1.2%),663 (68; 9.3%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-loop-unroll,3188 (1041; 24.6%),1416 (-27; -1.9%),662 (69; 9.4%),1056 (965; 47.7%),54 (34; 38.6%)
O0-loop-unswitch,3161 (1068; 25.3%),1419 (-30; -2.2%),656 (75; 10.3%),1039 (982; 48.6%),47 (41; 46.6%)
O0-loop-vectorize,3166 (1063; 25.1%),1422 (-33; -2.4%),658 (73; 10.0%),1039 (982; 48.6%),47 (41; 46.6%)
O0-memcpyopt,3119 (1110; 26.2%),1405 (-16; -1.2%),663 (68; 9.3%),1004 (1017; 50.3%),47 (41; 46.6%)
O0-prune-eh,3122 (1107; 26.2%),1412 (-23; -1.7%),661 (70; 9.6%),1002 (1019; 50.4%),47 (41; 46.6%)
O0-reassociate,3189 (1040; 24.6%),1417 (-28; -2.0%),662 (69; 9.4%),1056 (965; 47.7%),54 (34; 38.6%)
O0-sccp,3106 (1123; 26.6%),1419 (-30; -2.2%),642 (89; 12.2%),999 (1022; 50.6%),46 (42; 47.7%)
O0-simplifycfg,3188 (1041; 24.6%),1416 (-27; -1.9%),662 (69; 9.4%),1056 (965; 47.7%),54 (34; 38.6%)
O0-speculative-execution,3142 (1087; 25.7%),1436 (-47; -3.4%),637 (94; 12.9%),1020 (1001; 49.5%),49 (39; 44.3%)
O0-sroa,3107 (1122; 26.5%),1420 (-31; -2.2%),642 (89; 12.2%),999 (1022; 50.6%),46 (42; 47.7%)
