Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,4229, ,1389, ,731, ,2021
O0-adce,3106,60.4%,1419,44.0%,642,93.5%,999,61.0%
O0-alignment-from-assumptions,3096,60.2%,1427,44.1%,616,93.2%,996,60.9%
O0-bdce,3106,60.4%,1419,44.0%,642,93.5%,999,61.0%
O0-called-value-propagation,3109,60.6%,1412,43.9%,642,93.5%,995,60.9%
O0-correlated-propagation,3108,60.5%,1423,44.3%,640,93.4%,985,60.5%
O0-deadargelim,3188,61.4%,1416,43.9%,662,93.7%,1056,63.1%
O0-div-rem-pairs,3161,61.1%,1419,43.8%,656,93.6%,1039,62.6%
O0-dse,3093,60.3%,1409,43.6%,640,93.4%,999,61.0%
O0-early-cse,3119,60.6%,1405,43.4%,663,93.7%,1004,61.2%
O0-float2int,3119,60.6%,1405,43.4%,663,93.7%,1004,61.2%
O0-fomit-frame-pointer,3677,88.5%,1673,83.6%,832,94.1%,1104,91.8%
O0-functionattrs,3161,61.1%,1419,43.8%,656,93.6%,1039,62.6%
O0-globaldce,3119,60.6%,1405,43.4%,663,93.7%,1004,61.2%
O0-globalopt,3119,60.6%,1405,43.4%,663,93.7%,1004,61.2%
O0-indvars,3135,60.7%,1416,43.8%,666,93.7%,1006,61.2%
O0-instcombine,3188,61.4%,1416,43.9%,662,93.7%,1056,63.1%
O0-ipsccp,3124,60.7%,1407,43.7%,666,93.7%,1004,61.2%
O0-jump-threading,3170,61.2%,1426,44.2%,658,93.6%,1039,62.6%
O0-lcssa,3096,60.2%,1412,43.6%,640,93.4%,999,61.0%
O0-libcalls-shrinkwrap,3133,60.6%,1428,44.0%,636,93.4%,1020,61.9%
O0-licm,3106,60.4%,1419,44.0%,642,93.5%,999,61.0%
O0-loop-deletion,3161,61.1%,1419,43.8%,656,93.6%,1039,62.6%
O0-loop-distribute,3175,61.1%,1430,44.0%,659,93.6%,1039,62.6%
O0-loop-idiom,3208,61.5%,1435,44.3%,662,93.7%,1056,63.1%
O0-loop-load-elim,3166,61.2%,1422,44.1%,658,93.6%,1039,62.6%
O0-loop-rotate,3188,61.4%,1416,43.9%,662,93.7%,1056,63.1%
O0-loop-simplify,3161,61.1%,1419,43.8%,656,93.6%,1039,62.6%
O0-loop-sink,3119,60.6%,1405,43.4%,663,93.7%,1004,61.2%
O0-loop-unroll,3188,61.4%,1416,43.9%,662,93.7%,1056,63.1%
O0-loop-unswitch,3161,61.1%,1419,43.8%,656,93.6%,1039,62.6%
O0-loop-vectorize,3166,61.2%,1422,44.1%,658,93.6%,1039,62.6%
O0-memcpyopt,3119,60.6%,1405,43.4%,663,93.7%,1004,61.2%
O0-prune-eh,3122,60.6%,1412,43.8%,661,93.6%,1002,61.1%
O0-reassociate,3189,61.5%,1417,44.0%,662,93.7%,1056,63.1%
O0-sccp,3106,60.4%,1419,44.0%,642,93.5%,999,61.0%
O0-simplifycfg,3188,61.4%,1416,43.9%,662,93.7%,1056,63.1%
O0-speculative-execution,3142,60.8%,1436,44.4%,637,93.4%,1020,61.9%
O0-sroa,3107,60.4%,1420,44.0%,642,93.5%,999,61.0%
O0-strip-dead-prototypes,3146,60.8%,1440,44.5%,637,93.4%,1020,61.9%
O0-tailcallelim,3194,61.6%,1426,44.5%,660,93.6%,1054,63.0%
