Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,4,4,19,0,3,45,10,0,0,3
O0-adce,9 (-5; -125.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-alignment-from-assumptions,8 (-4; -100.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),1 (2; 66.7%),4 (41; 91.1%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),6 (-3; -100.0%)
O0-bdce,9 (-5; -125.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-called-value-propagation,8 (-4; -100.0%),4 (0; 0.0%),15 (4; 21.1%),0 (0; 0.0%),0 (3; 100.0%),5 (40; 88.9%),19 (-9; -90.0%),0 (0; 0.0%),0 (0; 0.0%),9 (-6; -200.0%)
O0-correlated-propagation,8 (-4; -100.0%),4 (0; 0.0%),15 (4; 21.1%),0 (0; 0.0%),0 (3; 100.0%),5 (40; 88.9%),19 (-9; -90.0%),0 (0; 0.0%),0 (0; 0.0%),9 (-6; -200.0%)
O0-deadargelim,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
O0-div-rem-pairs,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-dse,8 (-4; -100.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-early-cse,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-float2int,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-fomit-frame-pointer,6 (-2; -50.0%),7 (-3; -75.0%),26 (-7; -36.8%),0 (0; 0.0%),4 (-1; -33.3%),11 (34; 75.6%),12 (-2; -20.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-functionattrs,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-globaldce,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-globalopt,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-indvars,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-instcombine,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
O0-ipsccp,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-jump-threading,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-lcssa,8 (-4; -100.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-libcalls-shrinkwrap,8 (-4; -100.0%),3 (1; 25.0%),11 (8; 42.1%),0 (0; 0.0%),1 (2; 66.7%),4 (41; 91.1%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),8 (-5; -166.7%)
O0-licm,9 (-5; -125.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-loop-deletion,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
