Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0,4, ,4, ,19, ,0, ,3, ,45, ,10, ,0, ,0, ,3
O0-adce,9,88.9%,3,100.0%,12,100.0%,0,0.0%,1,100.0%,2,0.0%,14,100.0%,0,0.0%,0,0.0%,5,100.0%
O0-alignment-from-assumptions,8,87.5%,5,100.0%,16,100.0%,0,0.0%,1,100.0%,4,50.0%,17,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-bdce,9,88.9%,3,100.0%,12,100.0%,0,0.0%,1,100.0%,2,0.0%,14,100.0%,0,0.0%,0,0.0%,5,100.0%
O0-called-value-propagation,8,87.5%,4,100.0%,15,100.0%,0,0.0%,0,0.0%,5,60.0%,19,100.0%,0,0.0%,0,0.0%,9,100.0%
O0-correlated-propagation,8,87.5%,4,100.0%,15,100.0%,0,0.0%,0,0.0%,5,60.0%,19,100.0%,0,0.0%,0,0.0%,9,100.0%
O0-deadargelim,11,90.9%,2,100.0%,14,100.0%,0,0.0%,0,0.0%,3,33.3%,17,100.0%,0,0.0%,0,0.0%,7,100.0%
O0-div-rem-pairs,8,87.5%,1,100.0%,9,100.0%,0,0.0%,1,100.0%,5,60.0%,13,100.0%,0,0.0%,0,0.0%,10,100.0%
O0-dse,8,87.5%,3,100.0%,12,100.0%,0,0.0%,1,100.0%,2,0.0%,14,100.0%,0,0.0%,0,0.0%,5,100.0%
O0-early-cse,8,87.5%,1,100.0%,14,100.0%,0,0.0%,0,0.0%,3,33.3%,16,100.0%,0,0.0%,0,0.0%,5,100.0%
O0-float2int,8,87.5%,1,100.0%,14,100.0%,0,0.0%,0,0.0%,3,33.3%,16,100.0%,0,0.0%,0,0.0%,5,100.0%
O0-fomit-frame-pointer,6,33.3%,7,100.0%,26,100.0%,0,0.0%,4,75.0%,11,81.8%,12,100.0%,0,0.0%,0,0.0%,2,100.0%
O0-functionattrs,8,87.5%,1,100.0%,9,100.0%,0,0.0%,1,100.0%,5,60.0%,13,100.0%,0,0.0%,0,0.0%,10,100.0%
O0-globaldce,8,87.5%,1,100.0%,14,100.0%,0,0.0%,0,0.0%,3,33.3%,16,100.0%,0,0.0%,0,0.0%,5,100.0%
