Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,27 of 35,9 of 17
O0-adce,9 (-2),29 (-2),14 (-5)
O0-alignment-from-assumptions,8 (-1),32 (-5),13 (-4)
O0-bdce,8 (-1),30 (-3),12 (-3)
O0-called-value-propagation,8 (-1),32 (-5),13 (-4)
O0-correlated-propagation,8 (-1),32 (-5),13 (-4)
O0-deadargelim,7 (0),30 (-3),13 (-4)
O0-div-rem-pairs,8 (-1),32 (-5),13 (-4)
O0-dse,7 (0),29 (-2),11 (-2)
O0-early-cse,7 (0),28 (-1),11 (-2)
O0-float2int,8 (-1),32 (-5),13 (-4)
O0-fomit-frame-pointer,8 (-1),31 (-4),12 (-3)
O0-functionattrs,8 (-1),30 (-3),12 (-3)
O0-globaldce,8 (-1),32 (-5),13 (-4)
O0-globalopt,8 (-1),30 (-3),12 (-3)
O0-indvars,8 (-1),31 (-4),13 (-4)
O0-instcombine,9 (-2),32 (-5),11 (-2)
O0-ipsccp,6 (1),29 (-2),12 (-3)
O0-jump-threading,8 (-1),27 (0),9 (0)
O0-lcssa,8 (-1),32 (-5),13 (-4)
O0-libcalls-shrinkwrap,8 (-1),32 (-5),13 (-4)
O0-licm,6 (1),26 (1),11 (-2)
O0-loop-deletion,8 (-1),31 (-4),13 (-4)
O0-loop-distribute,8 (-1),32 (-5),13 (-4)
O0-loop-idiom,8 (-1),31 (-4),13 (-4)
O0-loop-load-elim,8 (-1),31 (-4),13 (-4)
O0-loop-rotate,6 (1),27 (0),10 (-1)
O0-loop-simplify,8 (-1),31 (-4),13 (-4)
O0-loop-sink,8 (-1),31 (-4),13 (-4)
O0-loop-unroll,8 (-1),31 (-4),13 (-4)
O0-loop-unswitch,8 (-1),31 (-4),13 (-4)
O0-loop-vectorize,8 (-1),31 (-4),13 (-4)
O0-memcpyopt,8 (-1),33 (-6),14 (-5)
O0-prune-eh,8 (-1),32 (-5),13 (-4)
O0-reassociate,6 (1),27 (0),11 (-2)
O0-sccp,7 (0),28 (-1),11 (-2)
O0-simplifycfg,8 (-1),28 (-1),12 (-3)
O0-speculative-execution,8 (-1),32 (-5),13 (-4)
O0-sroa,7 (0),28 (-1),12 (-3)
O0-strip-dead-prototypes,8 (-1),32 (-5),13 (-4)
O0-tailcallelim,8 (-1),28 (-1),11 (-2)
