Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,861,1.8739837398373984,684,1.5738304093567252,2903,1.7171891147089218
O0-adce,865 (-4),1.8329479768786128 (0.04103576295878564),685 (-1),1.7963503649635038 (-0.2225199556067785),2743 (160),1.7579292745169521 (-0.04074015980803036)
O0-alignment-from-assumptions,876 (-15),1.8230593607305936 (0.05092437910680481),709 (-25),1.6396332863187588 (-0.06580287696203357),2689 (214),1.7802156935663815 (-0.06302657885745977)
O0-bdce,871 (-10),1.8243398392652124 (0.04964390057218604),669 (15),1.6532137518684604 (-0.07938334251173518),2687 (216),1.773725344250093 (-0.05653622954117132)
O0-called-value-propagation,876 (-15),1.8230593607305936 (0.05092437910680481),709 (-25),1.6396332863187588 (-0.06580287696203357),2689 (214),1.7802156935663815 (-0.06302657885745977)
O0-correlated-propagation,876 (-15),1.8230593607305936 (0.05092437910680481),709 (-25),1.6396332863187588 (-0.06580287696203357),2689 (214),1.7802156935663815 (-0.06302657885745977)
O0-deadargelim,887 (-26),1.8049605411499436 (0.06902319868745477),671 (13),1.6080476900149032 (-0.03421728065817797),2655 (248),1.7789077212806026 (-0.06171860657168082)
O0-div-rem-pairs,876 (-15),1.8230593607305936 (0.05092437910680481),709 (-25),1.6396332863187588 (-0.06580287696203357),2689 (214),1.7802156935663815 (-0.06302657885745977)
O0-dse,869 (-8),1.8826237054085155 (-0.008639965571117125),701 (-17),1.7225392296718973 (-0.14870882031517207),2696 (207),1.8100890207715135 (-0.09289990606259169)
O0-early-cse,917 (-56),1.8691384950926935 (0.004845244744704935),1200 (-516),2.1804166666666664 (-0.6065862573099412),3266 (-363),1.920545009185548 (-0.20335589447662628)
O0-float2int,876 (-15),1.8230593607305936 (0.05092437910680481),709 (-25),1.6396332863187588 (-0.06580287696203357),2689 (214),1.7802156935663815 (-0.06302657885745977)
O0-fomit-frame-pointer,1024 (-163),2.0068359375 (-0.1328521976626016),928 (-244),1.9838362068965518 (-0.4100057975398266),2870 (33),1.8198606271777003 (-0.10267151246877848)
O0-functionattrs,863 (-2),1.8314020857473927 (0.042581654090005694),709 (-25),1.662200282087447 (-0.08836987273072183),2693 (210),1.7651318232454511 (-0.04794270853652938)
