Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4509,861,684,2903,61
O0-adce,4337 (172; 3.8%),865 (-4; -0.5%),685 (-1; -0.1%),2743 (160; 5.5%),44 (17; 27.9%)
O0-alignment-from-assumptions,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-bdce,4285 (224; 5.0%),871 (-10; -1.2%),669 (15; 2.2%),2687 (216; 7.4%),58 (3; 4.9%)
O0-called-value-propagation,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-correlated-propagation,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-deadargelim,4263 (246; 5.5%),887 (-26; -3.0%),671 (13; 1.9%),2655 (248; 8.5%),50 (11; 18.0%)
O0-div-rem-pairs,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-dse,4319 (190; 4.2%),869 (-8; -0.9%),701 (-17; -2.5%),2696 (207; 7.1%),53 (8; 13.1%)
O0-early-cse,5494 (-985; -21.8%),917 (-56; -6.5%),1200 (-516; -75.4%),3266 (-363; -12.5%),111 (-50; -82.0%)
O0-float2int,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-fomit-frame-pointer,4871 (-362; -8.0%),1024 (-163; -18.9%),928 (-244; -35.7%),2870 (33; 1.1%),49 (12; 19.7%)
O0-functionattrs,4311 (198; 4.4%),863 (-2; -0.2%),709 (-25; -3.7%),2693 (210; 7.2%),46 (15; 24.6%)
O0-globaldce,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-globalopt,4389 (120; 2.7%),869 (-8; -0.9%),716 (-32; -4.7%),2748 (155; 5.3%),56 (5; 8.2%)
O0-indvars,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-instcombine,4740 (-231; -5.1%),968 (-107; -12.4%),613 (71; 10.4%),3091 (-188; -6.5%),68 (-7; -11.5%)
O0-ipsccp,4322 (187; 4.1%),887 (-26; -3.0%),678 (6; 0.9%),2715 (188; 6.5%),42 (19; 31.1%)
O0-jump-threading,4568 (-59; -1.3%),911 (-50; -5.8%),746 (-62; -9.1%),2853 (50; 1.7%),58 (3; 4.9%)
O0-lcssa,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-libcalls-shrinkwrap,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-licm,4902 (-393; -8.7%),906 (-45; -5.2%),1012 (-328; -48.0%),2915 (-12; -0.4%),69 (-8; -13.1%)
O0-loop-deletion,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-distribute,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-loop-idiom,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-load-elim,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-rotate,4358 (151; 3.3%),823 (38; 4.4%),745 (-61; -8.9%),2743 (160; 5.5%),47 (14; 23.0%)
O0-loop-simplify,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-sink,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-unroll,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-unswitch,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-loop-vectorize,4318 (191; 4.2%),871 (-10; -1.2%),631 (53; 7.7%),2764 (139; 4.8%),52 (9; 14.8%)
O0-memcpyopt,4330 (179; 4.0%),910 (-49; -5.7%),698 (-14; -2.0%),2666 (237; 8.2%),56 (5; 8.2%)
O0-prune-eh,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-reassociate,4356 (153; 3.4%),882 (-21; -2.4%),664 (20; 2.9%),2762 (141; 4.9%),48 (13; 21.3%)
O0-sccp,4345 (164; 3.6%),866 (-5; -0.6%),703 (-19; -2.8%),2720 (183; 6.3%),56 (5; 8.2%)
O0-simplifycfg,4498 (11; 0.2%),899 (-38; -4.4%),657 (27; 3.9%),2893 (10; 0.3%),49 (12; 19.7%)
O0-speculative-execution,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-sroa,4710 (-201; -4.5%),988 (-127; -14.8%),781 (-97; -14.2%),2847 (56; 1.9%),94 (-33; -54.1%)
O0-strip-dead-prototypes,4329 (180; 4.0%),876 (-15; -1.7%),709 (-25; -3.7%),2689 (214; 7.4%),55 (6; 9.8%)
O0-tailcallelim,4952 (-443; -9.8%),822 (39; 4.5%),995 (-311; -45.5%),3051 (-148; -5.1%),84 (-23; -37.7%)
