Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,4509, ,861, ,684, ,2903
O0-adce,4337,52.3%,865,24.2%,685,88.0%,2743,51.7%
O0-alignment-from-assumptions,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-bdce,4285,51.8%,871,24.8%,669,87.4%,2687,50.7%
O0-called-value-propagation,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-correlated-propagation,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-deadargelim,4263,51.4%,887,25.5%,671,87.9%,2655,50.1%
O0-div-rem-pairs,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-dse,4319,52.6%,869,26.8%,701,88.2%,2696,50.8%
O0-early-cse,5494,71.5%,917,45.1%,1200,93.9%,3266,69.9%
O0-float2int,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-fomit-frame-pointer,4871,83.6%,1024,93.8%,928,93.8%,2870,76.5%
O0-functionattrs,4311,51.9%,863,23.5%,709,88.3%,2693,50.8%
O0-globaldce,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-globalopt,4389,53.0%,869,24.4%,716,88.4%,2748,52.0%
O0-indvars,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-instcombine,4740,72.8%,968,51.7%,613,88.4%,3091,75.9%
O0-ipsccp,4322,52.5%,887,26.7%,678,87.5%,2715,51.6%
O0-jump-threading,4568,58.8%,911,33.7%,746,89.7%,2853,58.0%
O0-lcssa,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-libcalls-shrinkwrap,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-licm,4902,63.3%,906,35.8%,1012,92.7%,2915,60.9%
O0-loop-deletion,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-distribute,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-loop-idiom,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-load-elim,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-rotate,4358,52.4%,823,19.7%,745,89.1%,2743,51.6%
O0-loop-simplify,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-sink,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-unroll,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-unswitch,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-loop-vectorize,4318,52.0%,871,23.8%,631,87.0%,2764,52.2%
O0-memcpyopt,4330,52.1%,910,27.5%,698,87.7%,2666,50.3%
O0-prune-eh,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-reassociate,4356,53.1%,882,27.3%,664,87.5%,2762,52.3%
O0-sccp,4345,52.2%,866,23.8%,703,87.8%,2720,51.3%
O0-simplifycfg,4498,59.2%,899,35.2%,657,88.1%,2893,59.6%
O0-speculative-execution,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-sroa,4710,78.5%,988,65.0%,781,91.2%,2847,79.0%
O0-strip-dead-prototypes,4329,52.1%,876,24.5%,709,88.2%,2689,50.7%
O0-tailcallelim,4952,58.3%,822,20.2%,995,91.7%,3051,56.7%
