Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,4,19,0,1,15,20,0,0,1
O0-adce,2 (-1; -100.0%),2 (2; 50.0%),8 (11; 57.9%),0 (0; 0.0%),2 (-1; -100.0%),12 (3; 20.0%),15 (5; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%)
O0-alignment-from-assumptions,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-bdce,1 (0; 0.0%),5 (-1; -25.0%),15 (4; 21.1%),0 (0; 0.0%),1 (0; 0.0%),13 (2; 13.3%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%)
O0-called-value-propagation,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-correlated-propagation,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-deadargelim,5 (-4; -400.0%),4 (0; 0.0%),17 (2; 10.5%),0 (0; 0.0%),0 (1; 100.0%),11 (4; 26.7%),13 (7; 35.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-div-rem-pairs,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-dse,3 (-2; -200.0%),6 (-2; -50.0%),15 (4; 21.1%),0 (0; 0.0%),1 (0; 0.0%),9 (6; 40.0%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-early-cse,5 (-4; -400.0%),25 (-21; -525.0%),33 (-14; -73.7%),0 (0; 0.0%),2 (-1; -100.0%),21 (-6; -40.0%),24 (-4; -20.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-float2int,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-fomit-frame-pointer,11 (-10; -1000.0%),6 (-2; -50.0%),13 (6; 31.6%),0 (0; 0.0%),1 (0; 0.0%),7 (8; 53.3%),10 (10; 50.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-functionattrs,4 (-3; -300.0%),3 (1; 25.0%),13 (6; 31.6%),0 (0; 0.0%),1 (0; 0.0%),8 (7; 46.7%),14 (6; 30.0%),0 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%)
O0-globaldce,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-globalopt,4 (-3; -300.0%),6 (-2; -50.0%),17 (2; 10.5%),0 (0; 0.0%),0 (1; 100.0%),9 (6; 40.0%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O0-indvars,5 (-4; -400.0%),5 (-1; -25.0%),16 (3; 15.8%),0 (0; 0.0%),0 (1; 100.0%),5 (10; 66.7%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-instcombine,2 (-1; -100.0%),9 (-5; -125.0%),11 (8; 42.1%),0 (0; 0.0%),1 (0; 0.0%),14 (1; 6.7%),25 (-5; -25.0%),0 (0; 0.0%),0 (0; 0.0%),6 (-5; -500.0%)
O0-ipsccp,2 (-1; -100.0%),5 (-1; -25.0%),17 (2; 10.5%),0 (0; 0.0%),1 (0; 0.0%),8 (7; 46.7%),9 (11; 55.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-jump-threading,3 (-2; -200.0%),6 (-2; -50.0%),11 (8; 42.1%),0 (0; 0.0%),0 (1; 100.0%),13 (2; 13.3%),25 (-5; -25.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-lcssa,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-libcalls-shrinkwrap,5 (-4; -400.0%),2 (2; 50.0%),18 (1; 5.3%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O0-licm,10 (-9; -900.0%),12 (-8; -200.0%),9 (10; 52.6%),0 (0; 0.0%),1 (0; 0.0%),11 (4; 26.7%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),4 (-3; -300.0%)
