Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0,1, ,4, ,19, ,0, ,1, ,15, ,20, ,0, ,0, ,1
O0-adce,2,50.0%,2,100.0%,8,87.5%,0,0.0%,2,100.0%,12,83.3%,15,100.0%,0,0.0%,0,0.0%,3,100.0%
O0-alignment-from-assumptions,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-bdce,1,0.0%,5,100.0%,15,93.3%,0,0.0%,1,100.0%,13,84.6%,21,100.0%,0,0.0%,0,0.0%,2,100.0%
O0-called-value-propagation,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-correlated-propagation,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-deadargelim,5,80.0%,4,100.0%,17,94.1%,0,0.0%,0,0.0%,11,72.7%,13,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-div-rem-pairs,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-dse,3,66.7%,6,100.0%,15,93.3%,0,0.0%,1,100.0%,9,77.8%,18,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-early-cse,5,80.0%,25,100.0%,33,97.0%,0,0.0%,2,100.0%,21,90.5%,24,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-float2int,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-fomit-frame-pointer,11,90.9%,6,100.0%,13,92.3%,0,0.0%,1,100.0%,7,100.0%,10,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-functionattrs,4,75.0%,3,100.0%,13,92.3%,0,0.0%,1,100.0%,8,62.5%,14,100.0%,0,0.0%,0,0.0%,3,100.0%
O0-globaldce,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-globalopt,4,75.0%,6,100.0%,17,94.1%,0,0.0%,0,0.0%,9,66.7%,19,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-indvars,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-instcombine,2,50.0%,9,100.0%,11,90.9%,0,0.0%,1,100.0%,14,85.7%,25,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-ipsccp,2,50.0%,5,100.0%,17,94.1%,0,0.0%,1,100.0%,8,62.5%,9,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-jump-threading,3,66.7%,6,100.0%,11,90.9%,0,0.0%,0,0.0%,13,84.6%,25,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-lcssa,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-libcalls-shrinkwrap,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-licm,10,90.0%,12,100.0%,9,88.9%,0,0.0%,1,100.0%,11,81.8%,22,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-deletion,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-distribute,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-idiom,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-load-elim,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-rotate,5,80.0%,5,100.0%,13,92.3%,0,0.0%,1,100.0%,9,77.8%,13,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-loop-simplify,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-sink,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-unroll,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-unswitch,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-loop-vectorize,5,80.0%,5,100.0%,16,93.8%,0,0.0%,0,0.0%,5,40.0%,21,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-memcpyopt,2,50.0%,4,100.0%,18,94.4%,0,0.0%,0,0.0%,7,57.1%,23,100.0%,0,0.0%,0,0.0%,2,100.0%
O0-prune-eh,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-reassociate,0,0.0%,3,100.0%,15,93.3%,0,0.0%,1,100.0%,10,70.0%,18,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-sccp,2,50.0%,3,100.0%,20,95.0%,0,0.0%,3,100.0%,7,57.1%,19,100.0%,0,0.0%,0,0.0%,2,100.0%
O0-simplifycfg,2,50.0%,1,100.0%,17,94.1%,0,0.0%,1,100.0%,8,75.0%,19,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-speculative-execution,5,80.0%,2,100.0%,18,94.4%,0,0.0%,1,100.0%,11,72.7%,18,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-sroa,0,0.0%,10,100.0%,23,95.7%,0,0.0%,1,100.0%,25,100.0%,33,100.0%,0,0.0%,0,0.0%,2,100.0%
