Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,5 of 11,10 of 35,4 of 17
O0-adce,8 (-3),19 (-9),9 (-5)
O0-alignment-from-assumptions,8 (-3),19 (-9),9 (-5)
O0-bdce,8 (-3),19 (-9),9 (-5)
O0-called-value-propagation,8 (-3),19 (-9),9 (-5)
O0-correlated-propagation,8 (-3),19 (-9),9 (-5)
O0-deadargelim,8 (-3),19 (-9),9 (-5)
O0-div-rem-pairs,8 (-3),19 (-9),9 (-5)
O0-dse,8 (-3),19 (-9),9 (-5)
O0-early-cse,8 (-3),22 (-12),10 (-6)
O0-float2int,8 (-3),19 (-9),9 (-5)
O0-fomit-frame-pointer,6 (-1),18 (-8),4 (0)
O0-functionattrs,8 (-3),19 (-9),9 (-5)
O0-globaldce,8 (-3),19 (-9),9 (-5)
O0-globalopt,8 (-3),19 (-9),9 (-5)
O0-indvars,8 (-3),19 (-9),9 (-5)
O0-instcombine,8 (-3),19 (-9),9 (-5)
O0-ipsccp,8 (-3),19 (-9),9 (-5)
O0-jump-threading,8 (-3),19 (-9),9 (-5)
O0-lcssa,8 (-3),19 (-9),9 (-5)
O0-libcalls-shrinkwrap,8 (-3),19 (-9),9 (-5)
O0-licm,7 (-2),18 (-8),9 (-5)
O0-loop-deletion,8 (-3),19 (-9),9 (-5)
O0-loop-distribute,8 (-3),19 (-9),9 (-5)
O0-loop-idiom,8 (-3),19 (-9),9 (-5)
O0-loop-load-elim,8 (-3),19 (-9),9 (-5)
O0-loop-rotate,8 (-3),17 (-7),7 (-3)
O0-loop-simplify,8 (-3),19 (-9),9 (-5)
O0-loop-sink,8 (-3),19 (-9),9 (-5)
O0-loop-unroll,8 (-3),19 (-9),9 (-5)
O0-loop-unswitch,8 (-3),19 (-9),9 (-5)
O0-loop-vectorize,8 (-3),19 (-9),9 (-5)
O0-memcpyopt,8 (-3),19 (-9),9 (-5)
O0-prune-eh,8 (-3),19 (-9),9 (-5)
O0-reassociate,8 (-3),22 (-12),10 (-6)
O0-sccp,8 (-3),19 (-9),9 (-5)
O0-simplifycfg,8 (-3),22 (-12),10 (-6)
O0-speculative-execution,8 (-3),19 (-9),9 (-5)
O0-sroa,8 (-3),19 (-9),9 (-5)
O0-strip-dead-prototypes,8 (-3),19 (-9),9 (-5)
O0-tailcallelim,8 (-3),23 (-13),10 (-6)
