Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,268,1.7611940298507462,60,2.375,91,1.3131868131868132
O0-adce,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-alignment-from-assumptions,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-bdce,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-called-value-propagation,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-correlated-propagation,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-deadargelim,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-div-rem-pairs,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-dse,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-early-cse,356 (-88),1.5337078651685394 (0.22748616468220684),47 (13),1.2234042553191489 (1.1515957446808511),87 (4),1.3850574712643677 (-0.07187065807755455)
O0-float2int,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-fomit-frame-pointer,299 (-31),2.0 (-0.23880597014925375),31 (29),2.467741935483871 (-0.092741935483871),102 (-11),1.2941176470588236 (0.01906916612798959)
O0-functionattrs,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-globaldce,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-globalopt,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
O0-indvars,363 (-95),1.475206611570248 (0.28598741828049823),45 (15),1.4777777777777779 (0.8972222222222221),86 (5),1.3953488372093024 (-0.08216202402248918)
O0-instcombine,356 (-88),1.553370786516854 (0.20782324333389224),52 (8),1.7884615384615385 (0.5865384615384615),85 (6),1.4823529411764707 (-0.16916612798965747)
O0-ipsccp,350 (-82),1.502857142857143 (0.25833688699360335),52 (8),1.4423076923076923 (0.9326923076923077),85 (6),1.3941176470588235 (-0.08093083387201028)
