Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,421,268,60,91,2
O0-adce,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-alignment-from-assumptions,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-bdce,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-called-value-propagation,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-correlated-propagation,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-deadargelim,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-div-rem-pairs,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-dse,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-early-cse,493 (-72; -17.1%),356 (-88; -32.8%),47 (13; 21.7%),87 (4; 4.4%),3 (-1; -50.0%)
O0-float2int,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-fomit-frame-pointer,437 (-16; -3.8%),299 (-31; -11.6%),31 (29; 48.3%),102 (-11; -12.1%),5 (-3; -150.0%)
O0-functionattrs,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-globaldce,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-globalopt,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-indvars,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-instcombine,496 (-75; -17.8%),356 (-88; -32.8%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-ipsccp,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-jump-threading,506 (-85; -20.2%),356 (-88; -32.8%),59 (1; 1.7%),88 (3; 3.3%),3 (-1; -50.0%)
O0-lcssa,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-libcalls-shrinkwrap,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-licm,504 (-83; -19.7%),370 (-102; -38.1%),43 (17; 28.3%),88 (3; 3.3%),3 (-1; -50.0%)
O0-loop-deletion,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-distribute,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-loop-idiom,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-load-elim,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-rotate,462 (-41; -9.7%),333 (-65; -24.3%),41 (19; 31.7%),83 (8; 8.8%),5 (-3; -150.0%)
O0-loop-simplify,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-sink,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-unroll,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-unswitch,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-loop-vectorize,497 (-76; -18.1%),363 (-95; -35.4%),45 (15; 25.0%),86 (5; 5.5%),3 (-1; -50.0%)
O0-memcpyopt,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-prune-eh,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-reassociate,513 (-92; -21.9%),372 (-104; -38.8%),46 (14; 23.3%),92 (-1; -1.1%),3 (-1; -50.0%)
O0-sccp,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-simplifycfg,491 (-70; -16.6%),350 (-82; -30.6%),52 (8; 13.3%),87 (4; 4.4%),2 (0; 0.0%)
O0-speculative-execution,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-sroa,486 (-65; -15.4%),349 (-81; -30.2%),55 (5; 8.3%),80 (11; 12.1%),2 (0; 0.0%)
O0-strip-dead-prototypes,490 (-69; -16.4%),350 (-82; -30.6%),52 (8; 13.3%),85 (6; 6.6%),3 (-1; -50.0%)
O0-tailcallelim,490 (-69; -16.4%),351 (-83; -31.0%),55 (5; 8.3%),74 (17; 18.7%),10 (-8; -400.0%)
