Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,421, ,268, ,60, ,91
O0-adce,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-alignment-from-assumptions,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-bdce,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-called-value-propagation,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-correlated-propagation,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-deadargelim,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-div-rem-pairs,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-dse,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-early-cse,493,94.5%,356,93.5%,47,97.9%,87,97.7%
O0-float2int,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-fomit-frame-pointer,437,91.1%,299,92.6%,31,71.0%,102,93.1%
O0-functionattrs,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-globaldce,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-globalopt,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-indvars,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-instcombine,496,94.6%,356,93.5%,52,98.1%,85,97.6%
O0-ipsccp,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-jump-threading,506,94.7%,356,93.5%,59,98.3%,88,97.7%
O0-lcssa,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-libcalls-shrinkwrap,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-licm,504,94.2%,370,93.2%,43,97.7%,88,97.7%
O0-loop-deletion,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-distribute,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-loop-idiom,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-load-elim,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-rotate,462,93.9%,333,92.8%,41,97.6%,83,97.6%
O0-loop-simplify,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-sink,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-unroll,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-unswitch,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-loop-vectorize,497,94.2%,363,93.1%,45,97.8%,86,97.7%
O0-memcpyopt,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-prune-eh,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-reassociate,513,94.7%,372,93.8%,46,97.8%,92,97.8%
O0-sccp,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-simplifycfg,491,94.3%,350,93.1%,52,98.1%,87,97.7%
O0-speculative-execution,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-sroa,486,94.2%,349,93.1%,55,98.2%,80,97.5%
O0-strip-dead-prototypes,490,94.3%,350,93.1%,52,98.1%,85,97.6%
O0-tailcallelim,490,94.3%,351,93.2%,55,98.2%,74,97.3%
