Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,0,1,0,0,1,0,0,0,0
O0-adce,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-alignment-from-assumptions,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-bdce,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-called-value-propagation,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-correlated-propagation,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-deadargelim,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-div-rem-pairs,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-dse,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-early-cse,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-float2int,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-fomit-frame-pointer,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
