Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,33 of 35,16 of 17
O0-adce,9 (-1),34 (-1),16 (0)
O0-alignment-from-assumptions,9 (-1),34 (-1),16 (0)
O0-bdce,9 (-1),34 (-1),16 (0)
O0-called-value-propagation,9 (-1),34 (-1),16 (0)
O0-correlated-propagation,9 (-1),34 (-1),16 (0)
O0-deadargelim,9 (-1),34 (-1),16 (0)
O0-div-rem-pairs,9 (-1),34 (-1),16 (0)
O0-dse,9 (-1),35 (-2),17 (-1)
O0-early-cse,10 (-2),35 (-2),16 (0)
O0-float2int,9 (-1),34 (-1),16 (0)
O0-fomit-frame-pointer,11 (-3),34 (-1),15 (1)
O0-functionattrs,9 (-1),34 (-1),16 (0)
O0-globaldce,9 (-1),34 (-1),16 (0)
O0-globalopt,9 (-1),34 (-1),16 (0)
O0-indvars,9 (-1),34 (-1),15 (1)
O0-instcombine,10 (-2),34 (-1),16 (0)
O0-ipsccp,9 (-1),34 (-1),16 (0)
O0-jump-threading,9 (-1),34 (-1),16 (0)
O0-lcssa,9 (-1),34 (-1),16 (0)
O0-libcalls-shrinkwrap,9 (-1),34 (-1),16 (0)
O0-licm,9 (-1),33 (0),16 (0)
O0-loop-deletion,9 (-1),34 (-1),15 (1)
O0-loop-distribute,9 (-1),34 (-1),16 (0)
O0-loop-idiom,9 (-1),34 (-1),15 (1)
O0-loop-load-elim,9 (-1),34 (-1),15 (1)
O0-loop-rotate,9 (-1),34 (-1),16 (0)
O0-loop-simplify,9 (-1),34 (-1),15 (1)
O0-loop-sink,9 (-1),34 (-1),15 (1)
O0-loop-unroll,9 (-1),34 (-1),15 (1)
O0-loop-unswitch,9 (-1),34 (-1),15 (1)
O0-loop-vectorize,9 (-1),34 (-1),15 (1)
O0-memcpyopt,9 (-1),34 (-1),16 (0)
O0-prune-eh,9 (-1),34 (-1),16 (0)
O0-reassociate,9 (-1),33 (0),15 (1)
O0-sccp,9 (-1),34 (-1),16 (0)
O0-simplifycfg,9 (-1),33 (0),16 (0)
O0-speculative-execution,9 (-1),34 (-1),16 (0)
O0-sroa,9 (-1),33 (0),15 (1)
O0-strip-dead-prototypes,9 (-1),34 (-1),16 (0)
O0-tailcallelim,10 (-2),34 (-1),17 (-1)
