Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,1994,1.7866098294884654,1273,1.6535742340926944,2205,1.6841269841269841
O0-adce,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-alignment-from-assumptions,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-bdce,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-called-value-propagation,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-correlated-propagation,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-deadargelim,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-div-rem-pairs,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-dse,3388 (-1394),1.6462514757969304 (0.14035835369153493),1082 (191),1.4348428835489833 (0.21873135054371118),1975 (230),1.3772151898734177 (0.3069117942535664)
O0-early-cse,3373 (-1379),1.6344500444707974 (0.15215978501766791),1094 (179),1.343235831809872 (0.3103384022828224),1916 (289),1.4467640918580376 (0.23736289226894658)
O0-float2int,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-fomit-frame-pointer,2329 (-335),1.9199227136109918 (-0.1333128841225264),1330 (-57),1.612406015037594 (0.041168219055100375),1936 (269),1.678460743801653 (0.00566624032533114)
O0-functionattrs,3382 (-1388),1.6240390301596688 (0.1625707993287966),1117 (156),1.332139659803044 (0.3214345742896505),2036 (169),1.3831041257367387 (0.30102285839024545)
O0-globaldce,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-globalopt,3401 (-1407),1.6399588356365775 (0.14665099385188785),1119 (154),1.4490616621983914 (0.20451257189430305),1965 (240),1.423409669211196 (0.2607173149157882)
O0-indvars,3408 (-1414),1.6415786384976525 (0.14503119099081285),1060 (213),1.394811320754717 (0.2587629133379774),1882 (323),1.465462274176408 (0.21866470995057607)
O0-instcombine,3423 (-1429),1.6162722757814783 (0.1703375537069871),1203 (70),1.5232751454696591 (0.1302990886230353),2027 (178),1.4193389245189936 (0.26478805960799057)
O0-ipsccp,3403 (-1409),1.6375257126065237 (0.14908411688194168),1119 (154),1.4490616621983914 (0.20451257189430305),1964 (241),1.4236252545824848 (0.26050172954449935)
