Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,5561,1994,1273,2205,89
O0-adce,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-alignment-from-assumptions,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-bdce,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-called-value-propagation,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-correlated-propagation,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-deadargelim,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-div-rem-pairs,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-dse,6522 (-961; -17.3%),3388 (-1394; -69.9%),1082 (191; 15.0%),1975 (230; 10.4%),77 (12; 13.5%)
O0-early-cse,6445 (-884; -15.9%),3373 (-1379; -69.2%),1094 (179; 14.1%),1916 (289; 13.1%),62 (27; 30.3%)
O0-float2int,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-fomit-frame-pointer,5726 (-165; -3.0%),2329 (-335; -16.8%),1330 (-57; -4.5%),1936 (269; 12.2%),131 (-42; -47.2%)
O0-functionattrs,6624 (-1063; -19.1%),3382 (-1388; -69.6%),1117 (156; 12.3%),2036 (169; 7.7%),89 (0; 0.0%)
O0-globaldce,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-globalopt,6565 (-1004; -18.1%),3401 (-1407; -70.6%),1119 (154; 12.1%),1965 (240; 10.9%),80 (9; 10.1%)
O0-indvars,6421 (-860; -15.5%),3408 (-1414; -70.9%),1060 (213; 16.7%),1882 (323; 14.6%),71 (18; 20.2%)
