Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,5561, ,1994, ,1273, ,2205
O0-adce,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-alignment-from-assumptions,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-bdce,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-called-value-propagation,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-correlated-propagation,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-deadargelim,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-div-rem-pairs,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-dse,6522,93.7%,3388,92.1%,1082,93.8%,1975,96.6%
O0-early-cse,6445,93.6%,3373,92.1%,1094,93.9%,1916,96.4%
O0-float2int,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-fomit-frame-pointer,5726,92.3%,2329,92.7%,1330,92.1%,1936,91.8%
O0-functionattrs,6624,93.6%,3382,91.9%,1117,93.6%,2036,96.7%
O0-globaldce,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-globalopt,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-indvars,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-instcombine,6735,93.6%,3423,91.8%,1203,94.2%,2027,96.5%
O0-ipsccp,6566,93.6%,3403,92.0%,1119,93.7%,1964,96.6%
O0-jump-threading,6496,93.6%,3424,92.0%,1144,94.3%,1872,96.5%
O0-lcssa,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-libcalls-shrinkwrap,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-licm,6594,93.6%,3413,92.1%,1162,93.8%,1926,96.4%
O0-loop-deletion,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-distribute,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-loop-idiom,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-load-elim,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-rotate,6537,93.4%,3443,91.8%,1121,94.0%,1881,96.3%
O0-loop-simplify,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-sink,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-unroll,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-unswitch,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-loop-vectorize,6421,93.6%,3408,92.1%,1060,93.7%,1882,96.4%
O0-memcpyopt,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-prune-eh,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-reassociate,6749,93.6%,3433,91.7%,1181,94.3%,2049,96.5%
O0-sccp,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-simplifycfg,6688,93.7%,3415,92.0%,1244,94.1%,1952,96.6%
O0-speculative-execution,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-sroa,6515,93.7%,3405,92.0%,1044,93.9%,1995,96.6%
O0-strip-dead-prototypes,6565,93.6%,3401,92.0%,1119,93.7%,1965,96.6%
O0-tailcallelim,6589,93.5%,3377,91.6%,1371,95.0%,1734,96.3%
