Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,17,8,24,0,2,12,22,0,0,4
O0-adce,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-alignment-from-assumptions,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-bdce,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-called-value-propagation,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-correlated-propagation,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-deadargelim,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-div-rem-pairs,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-dse,11 (6; 35.3%),5 (3; 37.5%),19 (5; 20.8%),0 (0; 0.0%),2 (0; 0.0%),10 (2; 16.7%),23 (-1; -4.5%),0 (0; 0.0%),0 (0; 0.0%),7 (-3; -75.0%)
O0-early-cse,14 (3; 17.6%),7 (1; 12.5%),15 (9; 37.5%),0 (0; 0.0%),2 (0; 0.0%),7 (5; 41.7%),16 (6; 27.3%),0 (0; 0.0%),0 (0; 0.0%),1 (3; 75.0%)
O0-float2int,11 (6; 35.3%),6 (2; 25.0%),23 (1; 4.2%),0 (0; 0.0%),2 (0; 0.0%),8 (4; 33.3%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-fomit-frame-pointer,13 (4; 23.5%),26 (-18; -225.0%),29 (-5; -20.8%),0 (0; 0.0%),8 (-6; -300.0%),28 (-16; -133.3%),27 (-5; -22.7%),0 (0; 0.0%),0 (0; 0.0%),0 (4; 100.0%)
