Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0,17, ,8, ,24, ,0, ,2, ,12, ,22, ,0, ,0, ,4
O0-adce,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-alignment-from-assumptions,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-bdce,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-called-value-propagation,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-correlated-propagation,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-deadargelim,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-div-rem-pairs,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-dse,11,27.3%,5,100.0%,19,94.7%,0,0.0%,2,50.0%,10,100.0%,23,100.0%,0,0.0%,0,0.0%,7,100.0%
O0-early-cse,14,42.9%,7,100.0%,15,93.3%,0,0.0%,2,50.0%,7,100.0%,16,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-float2int,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-fomit-frame-pointer,13,38.5%,26,100.0%,29,96.6%,0,0.0%,8,87.5%,28,100.0%,27,100.0%,0,0.0%,0,0.0%,0,0.0%
O0-functionattrs,11,27.3%,7,100.0%,23,95.7%,0,0.0%,2,50.0%,9,100.0%,23,100.0%,0,0.0%,0,0.0%,14,100.0%
O0-globaldce,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-globalopt,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-indvars,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-instcombine,11,27.3%,4,100.0%,19,89.5%,0,0.0%,5,80.0%,8,100.0%,26,96.2%,0,0.0%,0,0.0%,9,100.0%
O0-ipsccp,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-jump-threading,13,38.5%,4,100.0%,14,92.9%,0,0.0%,2,50.0%,6,100.0%,15,100.0%,0,0.0%,0,0.0%,2,100.0%
O0-lcssa,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-libcalls-shrinkwrap,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-licm,13,38.5%,6,100.0%,23,95.7%,0,0.0%,3,66.7%,11,100.0%,25,100.0%,0,0.0%,0,0.0%,12,100.0%
O0-loop-deletion,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-distribute,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-loop-idiom,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-load-elim,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-rotate,13,38.5%,10,100.0%,21,95.2%,0,0.0%,6,83.3%,13,100.0%,28,96.4%,0,0.0%,0,0.0%,1,100.0%
O0-loop-simplify,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-sink,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-unroll,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-unswitch,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-loop-vectorize,11,27.3%,8,100.0%,16,93.8%,0,0.0%,2,50.0%,13,100.0%,17,100.0%,0,0.0%,0,0.0%,4,100.0%
O0-memcpyopt,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-prune-eh,11,27.3%,6,100.0%,23,95.7%,0,0.0%,2,50.0%,8,100.0%,24,100.0%,0,0.0%,0,0.0%,6,100.0%
O0-reassociate,17,52.9%,7,100.0%,18,94.4%,0,0.0%,2,50.0%,10,100.0%,23,100.0%,0,0.0%,0,0.0%,9,100.0%
