Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,27 of 35,9 of 17
O0-fbranch-count-reg,8 (0),27 (0),9 (0)
O0-fcombine-stack-adjustments,8 (0),27 (0),9 (0)
O0-fcompare-elim,8 (0),27 (0),9 (0)
O0-fcprop-registers,8 (0),27 (0),9 (0)
O0-fdefer-pop,8 (0),27 (0),9 (0)
O0-fforward-propagate,8 (0),27 (0),9 (0)
O0-fguess-branch-probability,8 (0),27 (0),9 (0)
O0-fif-conversion,8 (0),27 (0),9 (0)
O0-fif-conversion2,8 (0),27 (0),9 (0)
O0-finline-functions-called-once,8 (0),27 (0),9 (0)
O0-fipa-profile,8 (0),27 (0),9 (0)
O0-fipa-pure-const,8 (0),26 (1),10 (-1)
O0-fipa-reference,8 (0),27 (0),9 (0)
O0-fmove-loop-invariants,8 (0),27 (0),9 (0)
O0-fomit-frame-pointer,8 (0),23 (4),9 (0)
O0-freorder-blocks,8 (0),27 (0),9 (0)
O0-fshrink-wrap,9 (-1),21 (6),11 (-2)
O0-fsplit-wide-types,8 (0),27 (0),9 (0)
O0-fssa-phiopt,8 (0),27 (0),9 (0)
O0-ftree-bit-ccp,8 (0),27 (0),9 (0)
O0-ftree-builtin-call-dce,8 (0),27 (0),9 (0)
O0-ftree-ccp,8 (0),27 (0),9 (0)
O0-ftree-ch,8 (0),27 (0),9 (0)
O0-ftree-coalesce-vars,7 (1),20 (7),8 (1)
O0-ftree-copy-prop,8 (0),27 (0),10 (-1)
O0-ftree-dce,8 (0),27 (0),9 (0)
O0-ftree-dominator-opts,8 (0),27 (0),9 (0)
O0-ftree-dse,8 (0),27 (0),9 (0)
O0-ftree-fre,8 (0),27 (0),9 (0)
O0-ftree-pta,8 (0),27 (0),9 (0)
O0-ftree-sink,8 (0),27 (0),9 (0)
O0-ftree-slsr,8 (0),27 (0),9 (0)
O0-ftree-sra,8 (0),27 (0),9 (0)
O0-ftree-ter,7 (1),23 (4),10 (-1)
