Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,387,268,50,64,5
O0-fbranch-count-reg,385 (2; 0.5%),267 (1; 0.4%),45 (5; 10.0%),68 (-4; -6.2%),5 (0; 0.0%)
O0-fcombine-stack-adjustments,387 (0; 0.0%),266 (2; 0.7%),53 (-3; -6.0%),63 (1; 1.6%),5 (0; 0.0%)
O0-fcompare-elim,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-fcprop-registers,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-fdefer-pop,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-fforward-propagate,385 (2; 0.5%),267 (1; 0.4%),45 (5; 10.0%),68 (-4; -6.2%),5 (0; 0.0%)
O0-fguess-branch-probability,387 (0; 0.0%),266 (2; 0.7%),53 (-3; -6.0%),63 (1; 1.6%),5 (0; 0.0%)
O0-fif-conversion,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-fif-conversion2,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-finline-functions-called-once,393 (-6; -1.6%),263 (5; 1.9%),49 (1; 2.0%),74 (-10; -15.6%),7 (-2; -40.0%)
O0-fipa-profile,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-fipa-pure-const,382 (5; 1.3%),264 (4; 1.5%),47 (3; 6.0%),67 (-3; -4.7%),4 (1; 20.0%)
O0-fipa-reference,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-fmove-loop-invariants,388 (-1; -0.3%),266 (2; 0.7%),50 (0; 0.0%),67 (-3; -4.7%),5 (0; 0.0%)
O0-fomit-frame-pointer,368 (19; 4.9%),234 (34; 12.7%),64 (-14; -28.0%),64 (0; 0.0%),6 (-1; -20.0%)
O0-freorder-blocks,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-fshrink-wrap,379 (8; 2.1%),281 (-13; -4.9%),51 (-1; -2.0%),44 (20; 31.2%),3 (2; 40.0%)
O0-fsplit-wide-types,385 (2; 0.5%),267 (1; 0.4%),45 (5; 10.0%),68 (-4; -6.2%),5 (0; 0.0%)
O0-fssa-phiopt,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-bit-ccp,380 (7; 1.8%),266 (2; 0.7%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-ftree-builtin-call-dce,387 (0; 0.0%),266 (2; 0.7%),49 (1; 2.0%),67 (-3; -4.7%),5 (0; 0.0%)
O0-ftree-ccp,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-ch,368 (19; 4.9%),268 (0; 0.0%),32 (18; 36.0%),64 (0; 0.0%),4 (1; 20.0%)
O0-ftree-coalesce-vars,379 (8; 2.1%),262 (6; 2.2%),55 (-5; -10.0%),54 (10; 15.6%),8 (-3; -60.0%)
O0-ftree-copy-prop,383 (4; 1.0%),269 (-1; -0.4%),39 (11; 22.0%),68 (-4; -6.2%),7 (-2; -40.0%)
O0-ftree-dce,378 (9; 2.3%),275 (-7; -2.6%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-dominator-opts,385 (2; 0.5%),267 (1; 0.4%),45 (5; 10.0%),68 (-4; -6.2%),5 (0; 0.0%)
O0-ftree-dse,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-fre,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-pta,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-sink,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-slsr,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-sra,370 (17; 4.4%),267 (1; 0.4%),34 (16; 32.0%),64 (0; 0.0%),5 (0; 0.0%)
O0-ftree-ter,397 (-10; -2.6%),271 (-3; -1.1%),45 (5; 10.0%),74 (-10; -15.6%),7 (-2; -40.0%)
