Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,387, ,268, ,50, ,64
O0-fbranch-count-reg,385,12.7%,267,1.5%,45,40.0%,68,38.2%
O0-fcombine-stack-adjustments,387,13.7%,266,1.1%,53,50.9%,63,34.9%
O0-fcompare-elim,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-fcprop-registers,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-fdefer-pop,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-fforward-propagate,385,12.7%,267,1.5%,45,40.0%,68,38.2%
O0-fguess-branch-probability,387,13.7%,266,1.1%,53,50.9%,63,34.9%
O0-fif-conversion,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-fif-conversion2,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-finline-functions-called-once,393,15.8%,263,0.0%,49,49.0%,74,47.3%
O0-fipa-profile,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-fipa-pure-const,382,36.9%,264,29.9%,47,51.1%,67,52.2%
O0-fipa-reference,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-fmove-loop-invariants,388,14.7%,266,1.1%,50,50.0%,67,41.8%
O0-fomit-frame-pointer,368,85.6%,234,85.0%,64,85.9%,64,87.5%
O0-freorder-blocks,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-fshrink-wrap,379,47.0%,281,47.3%,51,62.7%,44,25.0%
O0-fsplit-wide-types,385,12.7%,267,1.5%,45,40.0%,68,38.2%
O0-fssa-phiopt,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-bit-ccp,380,12.4%,266,1.1%,39,33.3%,68,41.2%
O0-ftree-builtin-call-dce,387,14.5%,266,1.1%,49,49.0%,67,41.8%
O0-ftree-ccp,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-ch,368,9.5%,268,1.9%,32,18.8%,64,37.5%
O0-ftree-coalesce-vars,379,47.5%,262,36.6%,55,72.7%,54,68.5%
O0-ftree-copy-prop,383,13.1%,269,2.2%,39,33.3%,68,41.2%
O0-ftree-dce,378,11.1%,275,4.4%,34,20.6%,64,34.4%
O0-ftree-dominator-opts,385,12.7%,267,1.5%,45,40.0%,68,38.2%
O0-ftree-dse,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-fre,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-pta,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-sink,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-slsr,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-sra,370,9.2%,267,1.5%,34,20.6%,64,34.4%
O0-ftree-ter,397,53.7%,271,48.3%,45,64.4%,74,63.5%
