Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,1,1,0,0,2,1,0,0,0
O0-fbranch-count-reg,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fcombine-stack-adjustments,0 (0; 0.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fcompare-elim,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fcprop-registers,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fdefer-pop,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fforward-propagate,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fguess-branch-probability,0 (0; 0.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fif-conversion,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fif-conversion2,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-finline-functions-called-once,0 (0; 0.0%),1 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fipa-profile,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fipa-pure-const,0 (0; 0.0%),1 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fipa-reference,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fmove-loop-invariants,0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fomit-frame-pointer,1 (-1; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-freorder-blocks,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fshrink-wrap,0 (0; 0.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fsplit-wide-types,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-fssa-phiopt,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-bit-ccp,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-builtin-call-dce,0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-ccp,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-ch,0 (0; 0.0%),0 (1; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-coalesce-vars,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),4 (-2; -100.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-copy-prop,0 (0; 0.0%),1 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-dce,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-dominator-opts,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-dse,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-fre,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-pta,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-sink,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-slsr,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-sra,0 (0; 0.0%),0 (1; 100.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-ftree-ter,0 (0; 0.0%),0 (1; 100.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
