Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,11 of 11,35 of 35,17 of 17
O0-fbranch-count-reg,11 (0),35 (0),17 (0)
O0-fcombine-stack-adjustments,11 (0),35 (0),17 (0)
O0-fcompare-elim,11 (0),35 (0),17 (0)
O0-fcprop-registers,11 (0),35 (0),17 (0)
O0-fdefer-pop,11 (0),35 (0),17 (0)
O0-fforward-propagate,11 (0),35 (0),17 (0)
O0-fguess-branch-probability,11 (0),35 (0),17 (0)
O0-fif-conversion,11 (0),35 (0),17 (0)
O0-fif-conversion2,11 (0),35 (0),17 (0)
O0-finline-functions-called-once,11 (0),35 (0),17 (0)
O0-fipa-profile,11 (0),35 (0),17 (0)
O0-fipa-pure-const,11 (0),35 (0),17 (0)
O0-fipa-reference,11 (0),35 (0),17 (0)
O0-fmove-loop-invariants,11 (0),35 (0),17 (0)
O0-fomit-frame-pointer,11 (0),35 (0),17 (0)
O0-freorder-blocks,11 (0),35 (0),17 (0)
O0-fshrink-wrap,11 (0),35 (0),17 (0)
O0-fsplit-wide-types,11 (0),35 (0),17 (0)
O0-fssa-phiopt,11 (0),35 (0),17 (0)
O0-ftree-bit-ccp,11 (0),35 (0),17 (0)
O0-ftree-builtin-call-dce,11 (0),35 (0),17 (0)
O0-ftree-ccp,11 (0),35 (0),17 (0)
O0-ftree-ch,11 (0),35 (0),17 (0)
O0-ftree-coalesce-vars,11 (0),35 (0),17 (0)
O0-ftree-copy-prop,11 (0),35 (0),17 (0)
O0-ftree-dce,11 (0),35 (0),17 (0)
O0-ftree-dominator-opts,11 (0),35 (0),17 (0)
O0-ftree-dse,11 (0),35 (0),17 (0)
O0-ftree-fre,11 (0),35 (0),17 (0)
O0-ftree-pta,11 (0),35 (0),17 (0)
O0-ftree-sink,11 (0),35 (0),17 (0)
O0-ftree-slsr,11 (0),35 (0),17 (0)
O0-ftree-sra,11 (0),35 (0),17 (0)
O0-ftree-ter,10 (1),35 (0),17 (0)
