Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,19472, ,11147, ,3346, ,4644
O0-fbranch-count-reg,19321,36.4%,11106,9.0%,3431,87.5%,4470,63.8%
O0-fcombine-stack-adjustments,19186,68.6%,11028,62.2%,3338,85.9%,4464,70.4%
O0-fcompare-elim,19106,34.0%,11077,7.1%,3262,84.5%,4443,62.3%
O0-fcprop-registers,19321,36.4%,11105,9.0%,3430,87.5%,4472,63.8%
O0-fdefer-pop,19070,56.3%,11030,43.1%,3286,85.4%,4444,66.9%
O0-fforward-propagate,19321,36.4%,11106,9.0%,3431,87.5%,4470,63.8%
O0-fguess-branch-probability,19386,37.2%,11132,9.3%,3319,88.5%,4622,66.0%
O0-fif-conversion,19106,34.0%,11077,7.1%,3262,84.5%,4443,62.3%
O0-fif-conversion2,19321,36.4%,11105,9.0%,3430,87.5%,4472,63.8%
O0-finline-functions-called-once,19385,37.2%,11130,9.2%,3319,88.5%,4623,66.0%
O0-fipa-profile,19109,34.0%,11080,7.1%,3262,84.5%,4443,62.3%
O0-fipa-pure-const,19004,77.2%,10912,69.6%,3496,95.5%,4292,80.5%
O0-fipa-reference,19106,34.0%,11077,7.1%,3262,84.5%,4443,62.3%
O0-fmove-loop-invariants,19388,37.2%,11133,9.3%,3320,88.5%,4622,66.0%
O0-fomit-frame-pointer,13604,94.5%,6925,93.9%,2783,97.7%,3633,93.0%
O0-freorder-blocks,19321,36.4%,11105,9.0%,3430,87.5%,4472,63.8%
O0-fshrink-wrap,19897,77.6%,11362,70.1%,3804,95.8%,4384,79.8%
O0-fsplit-wide-types,19321,36.4%,11106,9.0%,3431,87.5%,4470,63.8%
O0-fssa-phiopt,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-bit-ccp,19106,34.0%,11077,7.1%,3262,84.5%,4443,62.3%
O0-ftree-builtin-call-dce,19388,37.2%,11133,9.3%,3320,88.5%,4622,66.0%
O0-ftree-ccp,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-ch,19299,34.0%,11127,7.4%,3320,83.0%,4498,61.7%
O0-ftree-coalesce-vars,19321,78.6%,11114,71.6%,3412,95.8%,4483,82.2%
O0-ftree-copy-prop,19321,36.4%,11105,9.0%,3430,87.5%,4472,63.8%
O0-ftree-dce,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-dominator-opts,19319,36.4%,11104,9.0%,3432,87.5%,4469,63.8%
O0-ftree-dse,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-fre,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-pta,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-sink,19108,34.0%,11081,7.2%,3262,84.5%,4441,62.3%
O0-ftree-slsr,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-sra,19104,34.0%,11077,7.1%,3262,84.5%,4441,62.3%
O0-ftree-ter,19551,81.7%,11348,75.7%,3447,95.6%,4402,85.1%
