Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,551,409,34,102,6
O0-fbranch-count-reg,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fcombine-stack-adjustments,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fcompare-elim,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fcprop-registers,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fdefer-pop,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fforward-propagate,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fguess-branch-probability,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fif-conversion,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fif-conversion2,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-finline-functions-called-once,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fipa-profile,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fipa-pure-const,540 (11; 2.0%),396 (13; 3.2%),35 (-1; -2.9%),104 (-2; -2.0%),5 (1; 16.7%)
O0-fipa-reference,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fmove-loop-invariants,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fomit-frame-pointer,471 (80; 14.5%),383 (26; 6.4%),31 (3; 8.8%),54 (48; 47.1%),3 (3; 50.0%)
O0-freorder-blocks,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fshrink-wrap,550 (1; 0.2%),383 (26; 6.4%),49 (-15; -44.1%),113 (-11; -10.8%),5 (1; 16.7%)
O0-fsplit-wide-types,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-fssa-phiopt,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-bit-ccp,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-builtin-call-dce,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-ccp,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-ch,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-coalesce-vars,549 (2; 0.4%),392 (17; 4.2%),40 (-6; -17.6%),111 (-9; -8.8%),6 (0; 0.0%)
O0-ftree-copy-prop,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-dce,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-dominator-opts,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-dse,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-fre,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-pta,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-sink,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-slsr,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-sra,551 (0; 0.0%),409 (0; 0.0%),34 (0; 0.0%),102 (0; 0.0%),6 (0; 0.0%)
O0-ftree-ter,569 (-18; -3.3%),391 (18; 4.4%),51 (-17; -50.0%),123 (-21; -20.6%),4 (2; 33.3%)
