Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,551, ,409, ,34, ,102
O0-fbranch-count-reg,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fcombine-stack-adjustments,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fcompare-elim,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fcprop-registers,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fdefer-pop,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fforward-propagate,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fguess-branch-probability,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fif-conversion,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fif-conversion2,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-finline-functions-called-once,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fipa-profile,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fipa-pure-const,540,34.4%,396,28.8%,35,48.6%,104,50.0%
O0-fipa-reference,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fmove-loop-invariants,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fomit-frame-pointer,471,81.3%,383,84.3%,31,80.6%,54,63.0%
O0-freorder-blocks,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fshrink-wrap,550,31.6%,383,22.5%,49,63.3%,113,47.8%
O0-fsplit-wide-types,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-fssa-phiopt,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-bit-ccp,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-builtin-call-dce,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-ccp,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-ch,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-coalesce-vars,549,34.2%,392,23.5%,40,70.0%,111,58.6%
O0-ftree-copy-prop,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-dce,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-dominator-opts,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-dse,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-fre,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-pta,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-sink,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-slsr,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-sra,551,0.0%,409,0.0%,34,0.0%,102,0.0%
O0-ftree-ter,569,49.6%,391,37.3%,51,84.3%,123,74.0%
