Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,9 of 11,34 of 35,17 of 17
O0-fbranch-count-reg,9 (0),34 (0),17 (0)
O0-fcombine-stack-adjustments,9 (0),34 (0),17 (0)
O0-fcompare-elim,9 (0),34 (0),17 (0)
O0-fcprop-registers,9 (0),34 (0),17 (0)
O0-fdefer-pop,9 (0),34 (0),17 (0)
O0-fforward-propagate,9 (0),34 (0),17 (0)
O0-fguess-branch-probability,9 (0),34 (0),17 (0)
O0-fif-conversion,9 (0),34 (0),17 (0)
O0-fif-conversion2,9 (0),34 (0),17 (0)
O0-finline-functions-called-once,9 (0),34 (0),17 (0)
O0-fipa-profile,9 (0),34 (0),17 (0)
O0-fipa-pure-const,9 (0),34 (0),17 (0)
O0-fipa-reference,9 (0),34 (0),17 (0)
O0-fmove-loop-invariants,9 (0),34 (0),17 (0)
O0-fomit-frame-pointer,7 (2),31 (3),14 (3)
O0-freorder-blocks,9 (0),34 (0),17 (0)
O0-fshrink-wrap,11 (-2),35 (-1),17 (0)
O0-fsplit-wide-types,9 (0),34 (0),17 (0)
O0-fssa-phiopt,9 (0),34 (0),17 (0)
O0-ftree-bit-ccp,9 (0),34 (0),17 (0)
O0-ftree-builtin-call-dce,9 (0),34 (0),17 (0)
O0-ftree-ccp,9 (0),34 (0),17 (0)
O0-ftree-ch,9 (0),34 (0),17 (0)
O0-ftree-coalesce-vars,9 (0),34 (0),16 (1)
O0-ftree-copy-prop,9 (0),34 (0),17 (0)
O0-ftree-dce,9 (0),34 (0),17 (0)
O0-ftree-dominator-opts,9 (0),34 (0),17 (0)
O0-ftree-dse,9 (0),34 (0),17 (0)
O0-ftree-fre,9 (0),34 (0),17 (0)
O0-ftree-pta,9 (0),34 (0),17 (0)
O0-ftree-sink,9 (0),34 (0),17 (0)
O0-ftree-slsr,9 (0),34 (0),17 (0)
O0-ftree-sra,9 (0),34 (0),17 (0)
O0-ftree-ter,10 (-1),34 (0),17 (0)
