Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4640,2086,944,1504,106
O0-fbranch-count-reg,4808 (-168; -3.6%),2070 (16; 0.8%),1108 (-164; -17.4%),1535 (-31; -2.1%),95 (11; 10.4%)
O0-fcombine-stack-adjustments,4707 (-67; -1.4%),2072 (14; 0.7%),1023 (-79; -8.4%),1519 (-15; -1.0%),93 (13; 12.3%)
O0-fcompare-elim,4722 (-82; -1.8%),2075 (11; 0.5%),1113 (-169; -17.9%),1442 (62; 4.1%),92 (14; 13.2%)
O0-fcprop-registers,4808 (-168; -3.6%),2070 (16; 0.8%),1108 (-164; -17.4%),1535 (-31; -2.1%),95 (11; 10.4%)
O0-fdefer-pop,4558 (82; 1.8%),2080 (6; 0.3%),987 (-43; -4.6%),1401 (103; 6.8%),90 (16; 15.1%)
O0-fforward-propagate,4808 (-168; -3.6%),2070 (16; 0.8%),1108 (-164; -17.4%),1535 (-31; -2.1%),95 (11; 10.4%)
O0-fguess-branch-probability,4580 (60; 1.3%),2085 (1; 0.0%),932 (12; 1.3%),1462 (42; 2.8%),101 (5; 4.7%)
O0-fif-conversion,4722 (-82; -1.8%),2075 (11; 0.5%),1113 (-169; -17.9%),1442 (62; 4.1%),92 (14; 13.2%)
O0-fif-conversion2,4725 (-85; -1.8%),2078 (8; 0.4%),1113 (-169; -17.9%),1442 (62; 4.1%),92 (14; 13.2%)
O0-finline-functions-called-once,4572 (68; 1.5%),2085 (1; 0.0%),922 (22; 2.3%),1464 (40; 2.7%),101 (5; 4.7%)
O0-fipa-profile,4588 (52; 1.1%),2067 (19; 0.9%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-fipa-pure-const,4529 (111; 2.4%),2084 (2; 0.1%),917 (27; 2.9%),1443 (61; 4.1%),85 (21; 19.8%)
O0-fipa-reference,4722 (-82; -1.8%),2075 (11; 0.5%),1113 (-169; -17.9%),1442 (62; 4.1%),92 (14; 13.2%)
O0-fmove-loop-invariants,4612 (28; 0.6%),2079 (7; 0.3%),965 (-21; -2.2%),1471 (33; 2.2%),97 (9; 8.5%)
O0-fomit-frame-pointer,4051 (589; 12.7%),1586 (500; 24.0%),1003 (-59; -6.2%),1354 (150; 10.0%),108 (-2; -1.9%)
O0-freorder-blocks,4725 (-85; -1.8%),2078 (8; 0.4%),1113 (-169; -17.9%),1442 (62; 4.1%),92 (14; 13.2%)
O0-fshrink-wrap,4758 (-118; -2.5%),2091 (-5; -0.2%),1077 (-133; -14.1%),1497 (7; 0.5%),93 (13; 12.3%)
O0-fsplit-wide-types,4808 (-168; -3.6%),2070 (16; 0.8%),1108 (-164; -17.4%),1535 (-31; -2.1%),95 (11; 10.4%)
O0-fssa-phiopt,4587 (53; 1.1%),2066 (20; 1.0%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-bit-ccp,4728 (-88; -1.9%),2075 (11; 0.5%),1113 (-169; -17.9%),1448 (56; 3.7%),92 (14; 13.2%)
O0-ftree-builtin-call-dce,4612 (28; 0.6%),2079 (7; 0.3%),965 (-21; -2.2%),1471 (33; 2.2%),97 (9; 8.5%)
O0-ftree-ccp,4591 (49; 1.1%),2070 (16; 0.8%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-ch,4588 (52; 1.1%),2067 (19; 0.9%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-coalesce-vars,4671 (-31; -0.7%),2112 (-26; -1.2%),957 (-13; -1.4%),1518 (-14; -0.9%),84 (22; 20.8%)
O0-ftree-copy-prop,4725 (-85; -1.8%),2078 (8; 0.4%),1113 (-169; -17.9%),1442 (62; 4.1%),92 (14; 13.2%)
O0-ftree-dce,4588 (52; 1.1%),2067 (19; 0.9%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-dominator-opts,4807 (-167; -3.6%),2069 (17; 0.8%),1108 (-164; -17.4%),1535 (-31; -2.1%),95 (11; 10.4%)
O0-ftree-dse,4595 (45; 1.0%),2074 (12; 0.6%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-fre,4588 (52; 1.1%),2067 (19; 0.9%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-pta,4593 (47; 1.0%),2072 (14; 0.7%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-sink,4587 (53; 1.1%),2066 (20; 1.0%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-slsr,4587 (53; 1.1%),2066 (20; 1.0%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-sra,4588 (52; 1.1%),2067 (19; 0.9%),954 (-10; -1.1%),1474 (30; 2.0%),93 (13; 12.3%)
O0-ftree-ter,4660 (-20; -0.4%),2130 (-44; -2.1%),663 (281; 29.8%),1784 (-280; -18.6%),83 (23; 21.7%)
