Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,4,12,24,0,3,40,20,0,0,3
O0-fbranch-count-reg,6 (-2; -50.0%),5 (7; 58.3%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),38 (2; 5.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-fcombine-stack-adjustments,4 (0; 0.0%),9 (3; 25.0%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),35 (5; 12.5%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-fcompare-elim,5 (-1; -25.0%),8 (4; 33.3%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),37 (3; 7.5%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-fcprop-registers,6 (-2; -50.0%),5 (7; 58.3%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),38 (2; 5.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-fdefer-pop,5 (-1; -25.0%),10 (2; 16.7%),21 (3; 12.5%),0 (0; 0.0%),1 (2; 66.7%),33 (7; 17.5%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-fforward-propagate,6 (-2; -50.0%),5 (7; 58.3%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),38 (2; 5.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-fguess-branch-probability,5 (-1; -25.0%),6 (6; 50.0%),26 (-2; -8.3%),0 (0; 0.0%),0 (3; 100.0%),40 (0; 0.0%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-fif-conversion,5 (-1; -25.0%),8 (4; 33.3%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),37 (3; 7.5%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-fif-conversion2,5 (-1; -25.0%),8 (4; 33.3%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),37 (3; 7.5%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-finline-functions-called-once,5 (-1; -25.0%),6 (6; 50.0%),26 (-2; -8.3%),0 (0; 0.0%),0 (3; 100.0%),40 (0; 0.0%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-fipa-profile,4 (0; 0.0%),6 (6; 50.0%),19 (5; 20.8%),0 (0; 0.0%),1 (2; 66.7%),41 (-1; -2.5%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-fipa-pure-const,4 (0; 0.0%),6 (6; 50.0%),20 (4; 16.7%),0 (0; 0.0%),1 (2; 66.7%),31 (9; 22.5%),21 (-1; -5.0%),0 (0; 0.0%),0 (0; 0.0%),2 (1; 33.3%)
O0-fipa-reference,5 (-1; -25.0%),8 (4; 33.3%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),37 (3; 7.5%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-fmove-loop-invariants,4 (0; 0.0%),7 (5; 41.7%),22 (2; 8.3%),0 (0; 0.0%),0 (3; 100.0%),38 (2; 5.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),4 (-1; -33.3%)
O0-fomit-frame-pointer,18 (-14; -350.0%),9 (3; 25.0%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),32 (8; 20.0%),29 (-9; -45.0%),0 (0; 0.0%),0 (0; 0.0%),1 (2; 66.7%)
O0-freorder-blocks,5 (-1; -25.0%),8 (4; 33.3%),20 (4; 16.7%),0 (0; 0.0%),0 (3; 100.0%),37 (3; 7.5%),19 (1; 5.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-fshrink-wrap,7 (-3; -75.0%),10 (2; 16.7%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),32 (8; 20.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O0-fsplit-wide-types,6 (-2; -50.0%),5 (7; 58.3%),18 (6; 25.0%),0 (0; 0.0%),1 (2; 66.7%),38 (2; 5.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
