Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0,4, ,12, ,24, ,0, ,3, ,40, ,20, ,0, ,0, ,3
O0-fbranch-count-reg,6,33.3%,5,100.0%,18,88.9%,0,0.0%,1,100.0%,38,26.3%,22,81.8%,0,0.0%,0,0.0%,5,60.0%
O0-fcombine-stack-adjustments,4,0.0%,9,100.0%,20,95.0%,0,0.0%,0,0.0%,35,85.7%,22,90.9%,0,0.0%,0,0.0%,3,33.3%
O0-fcompare-elim,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-fcprop-registers,6,33.3%,5,100.0%,18,88.9%,0,0.0%,1,100.0%,38,26.3%,22,81.8%,0,0.0%,0,0.0%,5,60.0%
O0-fdefer-pop,5,20.0%,10,80.0%,21,81.0%,0,0.0%,1,100.0%,33,93.9%,18,61.1%,0,0.0%,0,0.0%,2,0.0%
O0-fforward-propagate,6,33.3%,5,100.0%,18,88.9%,0,0.0%,1,100.0%,38,26.3%,22,81.8%,0,0.0%,0,0.0%,5,60.0%
O0-fguess-branch-probability,5,20.0%,6,100.0%,26,92.3%,0,0.0%,0,0.0%,40,30.0%,19,84.2%,0,0.0%,0,0.0%,5,60.0%
O0-fif-conversion,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-fif-conversion2,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-finline-functions-called-once,5,20.0%,6,100.0%,26,92.3%,0,0.0%,0,0.0%,40,30.0%,19,84.2%,0,0.0%,0,0.0%,5,60.0%
O0-fipa-profile,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-fipa-pure-const,4,0.0%,6,50.0%,20,85.0%,0,0.0%,1,100.0%,31,96.8%,21,76.2%,0,0.0%,0,0.0%,2,0.0%
O0-fipa-reference,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-fmove-loop-invariants,4,0.0%,7,100.0%,22,90.9%,0,0.0%,0,0.0%,38,26.3%,22,86.4%,0,0.0%,0,0.0%,4,50.0%
O0-fomit-frame-pointer,18,77.8%,9,100.0%,18,94.4%,0,0.0%,1,100.0%,32,100.0%,29,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-freorder-blocks,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-fshrink-wrap,7,42.9%,10,100.0%,18,88.9%,0,0.0%,1,100.0%,32,93.8%,22,86.4%,0,0.0%,0,0.0%,3,33.3%
O0-fsplit-wide-types,6,33.3%,5,100.0%,18,88.9%,0,0.0%,1,100.0%,38,26.3%,22,81.8%,0,0.0%,0,0.0%,5,60.0%
O0-fssa-phiopt,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-bit-ccp,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-ftree-builtin-call-dce,4,0.0%,7,100.0%,22,90.9%,0,0.0%,0,0.0%,38,26.3%,22,86.4%,0,0.0%,0,0.0%,4,50.0%
O0-ftree-ccp,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-ch,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-coalesce-vars,4,0.0%,8,100.0%,26,96.2%,0,0.0%,0,0.0%,29,100.0%,16,100.0%,0,0.0%,0,0.0%,1,100.0%
O0-ftree-copy-prop,5,20.0%,8,100.0%,20,85.0%,0,0.0%,0,0.0%,37,24.3%,19,78.9%,0,0.0%,0,0.0%,3,33.3%
O0-ftree-dce,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-dominator-opts,6,33.3%,5,100.0%,18,88.9%,0,0.0%,1,100.0%,38,26.3%,22,81.8%,0,0.0%,0,0.0%,5,60.0%
O0-ftree-dse,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-fre,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-pta,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-sink,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-slsr,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-sra,4,0.0%,6,100.0%,19,78.9%,0,0.0%,1,100.0%,41,31.7%,20,75.0%,0,0.0%,0,0.0%,2,0.0%
O0-ftree-ter,5,20.0%,3,100.0%,13,92.3%,0,0.0%,1,100.0%,31,100.0%,27,100.0%,0,0.0%,0,0.0%,3,100.0%
