Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,5289,1763,815,2640,71
O0-fbranch-count-reg,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fcombine-stack-adjustments,5315 (-26; -0.5%),1769 (-6; -0.3%),835 (-20; -2.5%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fcompare-elim,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fcprop-registers,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fdefer-pop,5236 (53; 1.0%),1750 (13; 0.7%),834 (-19; -2.3%),2571 (69; 2.6%),81 (-10; -14.1%)
O0-fforward-propagate,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fguess-branch-probability,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fif-conversion,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fif-conversion2,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-finline-functions-called-once,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fipa-profile,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fipa-pure-const,5234 (55; 1.0%),1753 (10; 0.6%),838 (-23; -2.8%),2574 (66; 2.5%),69 (2; 2.8%)
O0-fipa-reference,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fmove-loop-invariants,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fomit-frame-pointer,6365 (-1076; -20.3%),1882 (-119; -6.7%),1701 (-886; -108.7%),2663 (-23; -0.9%),119 (-48; -67.6%)
O0-freorder-blocks,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-fshrink-wrap,5212 (77; 1.5%),1844 (-81; -4.6%),939 (-124; -15.2%),2348 (292; 11.1%),81 (-10; -14.1%)
O0-fsplit-wide-types,5790 (-501; -9.5%),1782 (-19; -1.1%),1251 (-436; -53.5%),2666 (-26; -1.0%),91 (-20; -28.2%)
O0-fssa-phiopt,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-bit-ccp,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-builtin-call-dce,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-ccp,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-ch,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-coalesce-vars,5296 (-7; -0.1%),1773 (-10; -0.6%),819 (-4; -0.5%),2605 (35; 1.3%),99 (-28; -39.4%)
O0-ftree-copy-prop,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-dce,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-dominator-opts,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-dse,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-fre,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-pta,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-sink,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-slsr,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-sra,5289 (0; 0.0%),1763 (0; 0.0%),815 (0; 0.0%),2640 (0; 0.0%),71 (0; 0.0%)
O0-ftree-ter,4730 (559; 10.6%),1649 (114; 6.5%),1231 (-416; -51.0%),1786 (854; 32.3%),64 (7; 9.9%)
