Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,5289, ,1763, ,815, ,2640
O0-fbranch-count-reg,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fcombine-stack-adjustments,5315,2.1%,1769,1.3%,835,8.3%,2640,0.8%
O0-fcompare-elim,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fcprop-registers,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fdefer-pop,5236,58.5%,1750,44.5%,834,78.3%,2571,61.3%
O0-fforward-propagate,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fguess-branch-probability,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fif-conversion,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fif-conversion2,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-finline-functions-called-once,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fipa-profile,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fipa-pure-const,5234,61.0%,1753,48.4%,838,81.3%,2574,62.5%
O0-fipa-reference,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fmove-loop-invariants,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fomit-frame-pointer,6365,89.8%,1882,94.8%,1701,96.5%,2663,81.6%
O0-freorder-blocks,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-fshrink-wrap,5212,62.0%,1844,50.9%,939,83.4%,2348,61.6%
O0-fsplit-wide-types,5790,67.6%,1782,51.9%,1251,89.5%,2666,67.1%
O0-fssa-phiopt,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-bit-ccp,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-builtin-call-dce,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-ccp,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-ch,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-coalesce-vars,5296,68.5%,1773,57.4%,819,88.5%,2605,68.7%
O0-ftree-copy-prop,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-dce,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-dominator-opts,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-dse,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-fre,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-pta,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-sink,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-slsr,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-sra,5289,0.0%,1763,0.0%,815,0.0%,2640,0.0%
O0-ftree-ter,4730,71.8%,1649,55.7%,1231,92.7%,1786,71.3%
