Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,5,19,0,3,15,26,0,0,2
O0-fbranch-count-reg,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fcombine-stack-adjustments,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fcompare-elim,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fcprop-registers,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fdefer-pop,4 (-3; -300.0%),2 (3; 60.0%),25 (-6; -31.6%),0 (0; 0.0%),3 (0; 0.0%),12 (3; 20.0%),30 (-4; -15.4%),0 (0; 0.0%),0 (0; 0.0%),5 (-3; -150.0%)
O0-fforward-propagate,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fguess-branch-probability,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fif-conversion,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fif-conversion2,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-finline-functions-called-once,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
O0-fipa-profile,1 (0; 0.0%),5 (0; 0.0%),19 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%),15 (0; 0.0%),26 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
