Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,448,327,55,64,2
O0-fbranch-count-reg,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fcombine-stack-adjustments,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fcompare-elim,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fcprop-registers,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fdefer-pop,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fforward-propagate,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fguess-branch-probability,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fif-conversion,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fif-conversion2,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-finline-functions-called-once,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fipa-profile,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fipa-pure-const,439 (9; 2.0%),322 (5; 1.5%),47 (8; 14.5%),66 (-2; -3.1%),4 (-2; -100.0%)
O0-fipa-reference,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fmove-loop-invariants,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fomit-frame-pointer,479 (-31; -6.9%),370 (-43; -13.1%),27 (28; 50.9%),79 (-15; -23.4%),3 (-1; -50.0%)
O0-freorder-blocks,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fshrink-wrap,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fsplit-wide-types,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-fssa-phiopt,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-bit-ccp,439 (9; 2.0%),320 (7; 2.1%),48 (7; 12.7%),68 (-4; -6.2%),3 (-1; -50.0%)
O0-ftree-builtin-call-dce,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-ccp,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-ch,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-coalesce-vars,464 (-16; -3.6%),332 (-5; -1.5%),59 (-4; -7.3%),71 (-7; -10.9%),2 (0; 0.0%)
O0-ftree-copy-prop,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-dce,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-dominator-opts,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-dse,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-fre,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-pta,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-sink,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-slsr,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-sra,448 (0; 0.0%),327 (0; 0.0%),55 (0; 0.0%),64 (0; 0.0%),2 (0; 0.0%)
O0-ftree-ter,464 (-16; -3.6%),338 (-11; -3.4%),52 (3; 5.5%),72 (-8; -12.5%),2 (0; 0.0%)
