Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,10 of 11,35 of 35,17 of 17
O0-fbranch-count-reg,10 (0),35 (0),17 (0)
O0-fcombine-stack-adjustments,10 (0),35 (0),17 (0)
O0-fcompare-elim,10 (0),35 (0),17 (0)
O0-fcprop-registers,10 (0),35 (0),17 (0)
O0-fdefer-pop,9 (1),33 (2),16 (1)
O0-fforward-propagate,10 (0),35 (0),17 (0)
O0-fguess-branch-probability,10 (0),35 (0),17 (0)
O0-fif-conversion,10 (0),35 (0),17 (0)
O0-fif-conversion2,10 (0),35 (0),17 (0)
O0-finline-functions-called-once,10 (0),35 (0),17 (0)
O0-fipa-profile,10 (0),35 (0),17 (0)
O0-fipa-pure-const,10 (0),35 (0),17 (0)
O0-fipa-reference,10 (0),35 (0),17 (0)
O0-fmove-loop-invariants,10 (0),35 (0),17 (0)
O0-fomit-frame-pointer,11 (-1),32 (3),15 (2)
O0-freorder-blocks,10 (0),35 (0),17 (0)
O0-fshrink-wrap,11 (-1),35 (0),17 (0)
O0-fsplit-wide-types,10 (0),35 (0),17 (0)
O0-fssa-phiopt,10 (0),35 (0),17 (0)
O0-ftree-bit-ccp,10 (0),35 (0),17 (0)
O0-ftree-builtin-call-dce,10 (0),35 (0),17 (0)
O0-ftree-ccp,10 (0),35 (0),17 (0)
O0-ftree-ch,10 (0),35 (0),17 (0)
O0-ftree-coalesce-vars,10 (0),35 (0),17 (0)
O0-ftree-copy-prop,10 (0),35 (0),17 (0)
O0-ftree-dce,10 (0),35 (0),17 (0)
O0-ftree-dominator-opts,10 (0),35 (0),17 (0)
O0-ftree-dse,10 (0),35 (0),17 (0)
O0-ftree-fre,10 (0),35 (0),17 (0)
O0-ftree-pta,10 (0),35 (0),17 (0)
O0-ftree-sink,10 (0),35 (0),17 (0)
O0-ftree-slsr,10 (0),35 (0),17 (0)
O0-ftree-sra,10 (0),35 (0),17 (0)
O0-ftree-ter,11 (-1),34 (1),17 (0)
