Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,3172,1.903688524590164,1313,1.8267326732673268,1809,1.728579325594251
O0-fbranch-count-reg,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fcombine-stack-adjustments,3175 (-3),1.8959055118110235 (0.007783012779140508),1337 (-24),1.9285714285714286 (-0.1018387553041018),1810 (-1),1.6469613259668507 (0.08161799962740024)
O0-fcompare-elim,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fcprop-registers,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fdefer-pop,3183 (-11),1.903550109959158 (0.0001384146310059453),1327 (-14),1.8134890730972117 (0.013243600170115055),1822 (-13),1.6577936333699232 (0.07078569222432773)
O0-fforward-propagate,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fguess-branch-probability,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fif-conversion,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fif-conversion2,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-finline-functions-called-once,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fipa-profile,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fipa-pure-const,3160 (12),1.8901898734177216 (0.013498651172442422),1343 (-30),1.905807892777364 (-0.07907521951003726),1810 (-1),1.6687845303867404 (0.05979479520751063)
O0-fipa-reference,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fmove-loop-invariants,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fomit-frame-pointer,2647 (525),2.004533434076313 (-0.10084490948614899),1317 (-4),1.7558845861807137 (0.07084808708661305),1945 (-136),1.7339331619537275 (-0.005353836359476505)
O0-freorder-blocks,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-fshrink-wrap,3116 (56),1.9003530166880616 (0.0033355079021024636),1356 (-43),1.892330383480826 (-0.06559771021349925),1823 (-14),1.6341195831047723 (0.09445974248947864)
O0-fsplit-wide-types,3151 (21),1.9255791812123135 (-0.021890656622149507),1362 (-49),1.9405286343612336 (-0.11379596109390677),1873 (-64),1.6660437800320342 (0.06253554556221674)
O0-fssa-phiopt,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-bit-ccp,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-builtin-call-dce,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-ccp,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-ch,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-coalesce-vars,3256 (-84),1.8817567567567568 (0.021931767833407223),1326 (-13),1.838235294117647 (-0.011502620850320167),1878 (-69),1.6496272630457933 (0.07895206254845766)
O0-ftree-copy-prop,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-dce,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-dominator-opts,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-dse,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-fre,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-pta,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-sink,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-slsr,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-sra,3172 (0),1.903688524590164 (0.0),1313 (0),1.8267326732673268 (0.0),1809 (0),1.728579325594251 (0.0)
O0-ftree-ter,3199 (-27),1.87527352297593 (0.028415001614233937),1032 (281),1.5920542635658914 (0.2346784097014354),1898 (-89),1.6567439409905163 (0.07183538460373473)
