Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,6393,3172,1313,1809,99
O0-fbranch-count-reg,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fcombine-stack-adjustments,6412 (-19; -0.3%),3175 (-3; -0.1%),1337 (-24; -1.8%),1810 (-1; -0.1%),90 (9; 9.1%)
O0-fcompare-elim,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fcprop-registers,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fdefer-pop,6429 (-36; -0.6%),3183 (-11; -0.3%),1327 (-14; -1.1%),1822 (-13; -0.7%),97 (2; 2.0%)
O0-fforward-propagate,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fguess-branch-probability,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fif-conversion,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fif-conversion2,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-finline-functions-called-once,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fipa-profile,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fipa-pure-const,6403 (-10; -0.2%),3160 (12; 0.4%),1343 (-30; -2.3%),1810 (-1; -0.1%),90 (9; 9.1%)
O0-fipa-reference,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fmove-loop-invariants,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fomit-frame-pointer,6012 (381; 6.0%),2647 (525; 16.6%),1317 (-4; -0.3%),1945 (-136; -7.5%),103 (-4; -4.0%)
O0-freorder-blocks,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-fshrink-wrap,6404 (-11; -0.2%),3116 (56; 1.8%),1356 (-43; -3.3%),1823 (-14; -0.8%),109 (-10; -10.1%)
O0-fsplit-wide-types,6483 (-90; -1.4%),3151 (21; 0.7%),1362 (-49; -3.7%),1873 (-64; -3.5%),97 (2; 2.0%)
O0-fssa-phiopt,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-bit-ccp,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-builtin-call-dce,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-ccp,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-ch,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-coalesce-vars,6546 (-153; -2.4%),3256 (-84; -2.6%),1326 (-13; -1.0%),1878 (-69; -3.8%),86 (13; 13.1%)
O0-ftree-copy-prop,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-dce,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-dominator-opts,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-dse,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-fre,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-pta,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-sink,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-slsr,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-sra,6393 (0; 0.0%),3172 (0; 0.0%),1313 (0; 0.0%),1809 (0; 0.0%),99 (0; 0.0%)
O0-ftree-ter,6230 (163; 2.5%),3199 (-27; -0.9%),1032 (281; 21.4%),1898 (-89; -4.9%),101 (-2; -2.0%)
