Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,12,7,34,0,1,21,20,0,0,4
O0-fbranch-count-reg,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fcombine-stack-adjustments,15 (-3; -25.0%),3 (4; 57.1%),24 (10; 29.4%),0 (0; 0.0%),4 (-3; -300.0%),20 (1; 4.8%),18 (2; 10.0%),0 (0; 0.0%),0 (0; 0.0%),6 (-2; -50.0%)
O0-fcompare-elim,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fcprop-registers,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fdefer-pop,12 (0; 0.0%),7 (0; 0.0%),33 (1; 2.9%),0 (0; 0.0%),1 (0; 0.0%),17 (4; 19.0%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O0-fforward-propagate,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fguess-branch-probability,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fif-conversion,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fif-conversion2,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-finline-functions-called-once,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fipa-profile,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fipa-pure-const,17 (-5; -41.7%),6 (1; 14.3%),17 (17; 50.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),25 (-5; -25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (1; 25.0%)
O0-fipa-reference,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fmove-loop-invariants,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fomit-frame-pointer,11 (1; 8.3%),9 (-2; -28.6%),27 (7; 20.6%),0 (0; 0.0%),3 (-2; -200.0%),23 (-2; -9.5%),28 (-8; -40.0%),0 (0; 0.0%),0 (0; 0.0%),2 (2; 50.0%)
O0-freorder-blocks,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fshrink-wrap,11 (1; 8.3%),11 (-4; -57.1%),32 (2; 5.9%),0 (0; 0.0%),3 (-2; -200.0%),23 (-2; -9.5%),25 (-5; -25.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-fsplit-wide-types,14 (-2; -16.7%),6 (1; 14.3%),23 (11; 32.4%),0 (0; 0.0%),3 (-2; -200.0%),18 (3; 14.3%),28 (-8; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-1; -25.0%)
O0-fssa-phiopt,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-bit-ccp,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-builtin-call-dce,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
