Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0,12, ,7, ,34, ,0, ,1, ,21, ,20, ,0, ,0, ,4
O0-fbranch-count-reg,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fcombine-stack-adjustments,15,40.0%,3,66.7%,24,70.8%,0,0.0%,4,75.0%,20,85.0%,18,66.7%,0,0.0%,0,0.0%,6,66.7%
O0-fcompare-elim,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fcprop-registers,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fdefer-pop,12,0.0%,7,28.6%,33,21.2%,0,0.0%,1,0.0%,17,58.8%,22,36.4%,0,0.0%,0,0.0%,5,40.0%
O0-fforward-propagate,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fguess-branch-probability,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fif-conversion,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fif-conversion2,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-finline-functions-called-once,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fipa-profile,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fipa-pure-const,17,29.4%,6,66.7%,17,47.1%,0,0.0%,1,0.0%,21,95.2%,25,56.0%,0,0.0%,0,0.0%,3,33.3%
O0-fipa-reference,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fmove-loop-invariants,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fomit-frame-pointer,11,27.3%,9,100.0%,27,96.3%,0,0.0%,3,66.7%,23,100.0%,28,96.4%,0,0.0%,0,0.0%,2,100.0%
O0-freorder-blocks,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-fshrink-wrap,11,27.3%,11,90.9%,32,84.4%,0,0.0%,3,66.7%,23,87.0%,25,84.0%,0,0.0%,0,0.0%,4,75.0%
O0-fsplit-wide-types,14,35.7%,6,83.3%,23,78.3%,0,0.0%,3,66.7%,18,38.9%,28,67.9%,0,0.0%,0,0.0%,5,80.0%
O0-fssa-phiopt,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-bit-ccp,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-builtin-call-dce,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-ccp,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-ch,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-coalesce-vars,15,40.0%,8,87.5%,23,91.3%,0,0.0%,4,75.0%,17,100.0%,16,93.8%,0,0.0%,0,0.0%,3,100.0%
O0-ftree-copy-prop,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-dce,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-dominator-opts,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-dse,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-fre,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-pta,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-sink,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-slsr,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-sra,12,0.0%,7,0.0%,34,0.0%,0,0.0%,1,0.0%,21,0.0%,20,0.0%,0,0.0%,0,0.0%,4,0.0%
O0-ftree-ter,11,27.3%,5,100.0%,19,94.7%,0,0.0%,6,83.3%,28,100.0%,32,100.0%,0,0.0%,0,0.0%,0,0.0%
