Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,300,1.8983333333333334,51,2.627450980392157,32,1.28125
O1-falign-labels,299 (1),1.8494983277591974 (0.048835005574136),41 (10),2.792682926829268 (-0.16523194643711125),34 (-2),1.6176470588235294 (-0.33639705882352944)
O1-fcaller-saves,306 (-6),1.826797385620915 (0.07153594771241845),32 (19),2.625 (0.002450980392156854),33 (-1),1.8484848484848484 (-0.5672348484848484)
O1-fcode-hoisting,298 (2),1.8456375838926173 (0.05269574944071609),48 (3),2.6875 (-0.060049019607843146),22 (10),1.6363636363636365 (-0.35511363636363646)
O1-fcrossjumping,289 (11),1.7906574394463668 (0.10767589388696663),42 (9),2.261904761904762 (0.365546218487395),40 (-8),2.7625 (-1.4812500000000002)
O1-fcse-follow-jumps,299 (1),1.8160535117056855 (0.08227982162764791),29 (22),2.6551724137931036 (-0.027721433400946793),23 (9),1.2608695652173914 (0.020380434782608647)
O1-fdevirtualize,299 (1),1.8494983277591974 (0.048835005574136),41 (10),2.792682926829268 (-0.16523194643711125),34 (-2),1.6176470588235294 (-0.33639705882352944)
O1-fdevirtualize-speculatively,297 (3),1.8484848484848484 (0.04984848484848503),42 (9),2.619047619047619 (0.008403361344537785),30 (2),1.2 (0.08125000000000004)
O1-fexpensive-optimizations,307 (-7),1.8061889250814331 (0.09214440825190029),53 (-2),2.792452830188679 (-0.16500184979652222),29 (3),1.7413793103448276 (-0.4601293103448276)
O1-fgcse,293 (7),1.8907849829351535 (0.007548350398179915),40 (11),3.025 (-0.39754901960784306),22 (10),1.4772727272727273 (-0.1960227272727273)
O1-fhoist-adjacent-loads,299 (1),1.8494983277591974 (0.048835005574136),43 (8),2.6511627906976742 (-0.02371181030551739),29 (3),1.3620689655172413 (-0.08081896551724133)
O1-findirect-inlining,299 (1),1.8494983277591974 (0.048835005574136),43 (8),2.6511627906976742 (-0.02371181030551739),29 (3),1.3620689655172413 (-0.08081896551724133)
O1-finline-small-functions,329 (-29),1.7796352583586625 (0.11869807497467089),34 (17),2.8088235294117645 (-0.18137254901960764),21 (11),1.7619047619047619 (-0.48065476190476186)
O1-fipa-bit-cp,304 (-4),1.832236842105263 (0.06609649122807038),41 (10),2.792682926829268 (-0.16523194643711125),34 (-2),1.6176470588235294 (-0.33639705882352944)
O1-fipa-cp,301 (-1),1.8538205980066444 (0.04451273532668898),46 (5),2.391304347826087 (0.23614663256606994),31 (1),1.435483870967742 (-0.154233870967742)
O1-fipa-icf,301 (-1),1.8538205980066444 (0.04451273532668898),46 (5),2.391304347826087 (0.23614663256606994),31 (1),1.435483870967742 (-0.154233870967742)
O1-fipa-icf-functions,299 (1),1.8494983277591974 (0.048835005574136),43 (8),2.6511627906976742 (-0.02371181030551739),29 (3),1.3620689655172413 (-0.08081896551724133)
O1-fipa-icf-variables,299 (1),1.8494983277591974 (0.048835005574136),43 (8),2.6511627906976742 (-0.02371181030551739),29 (3),1.3620689655172413 (-0.08081896551724133)
O1-fipa-ra,302 (-2),1.8526490066225165 (0.0456843267108169),46 (5),2.391304347826087 (0.23614663256606994),31 (1),1.435483870967742 (-0.154233870967742)
