Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,385,300,51,32,2
O1-falign-labels,377 (8; 2.1%),299 (1; 0.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-fcaller-saves,372 (13; 3.4%),306 (-6; -2.0%),32 (19; 37.3%),33 (-1; -3.1%),1 (1; 50.0%)
O1-fcode-hoisting,370 (15; 3.9%),298 (2; 0.7%),48 (3; 5.9%),22 (10; 31.2%),2 (0; 0.0%)
O1-fcrossjumping,374 (11; 2.9%),289 (11; 3.7%),42 (9; 17.6%),40 (-8; -25.0%),3 (-1; -50.0%)
O1-fcse-follow-jumps,353 (32; 8.3%),299 (1; 0.3%),29 (22; 43.1%),23 (9; 28.1%),2 (0; 0.0%)
O1-fdevirtualize,377 (8; 2.1%),299 (1; 0.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-fdevirtualize-speculatively,372 (13; 3.4%),297 (3; 1.0%),42 (9; 17.6%),30 (2; 6.2%),3 (-1; -50.0%)
O1-fexpensive-optimizations,390 (-5; -1.3%),307 (-7; -2.3%),53 (-2; -3.9%),29 (3; 9.4%),1 (1; 50.0%)
O1-fgcse,356 (29; 7.5%),293 (7; 2.3%),40 (11; 21.6%),22 (10; 31.2%),1 (1; 50.0%)
O1-fhoist-adjacent-loads,373 (12; 3.1%),299 (1; 0.3%),43 (8; 15.7%),29 (3; 9.4%),2 (0; 0.0%)
O1-findirect-inlining,373 (12; 3.1%),299 (1; 0.3%),43 (8; 15.7%),29 (3; 9.4%),2 (0; 0.0%)
O1-finline-small-functions,388 (-3; -0.8%),329 (-29; -9.7%),34 (17; 33.3%),21 (11; 34.4%),4 (-2; -100.0%)
O1-fipa-bit-cp,382 (3; 0.8%),304 (-4; -1.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-fipa-cp,381 (4; 1.0%),301 (-1; -0.3%),46 (5; 9.8%),31 (1; 3.1%),3 (-1; -50.0%)
O1-fipa-icf,381 (4; 1.0%),301 (-1; -0.3%),46 (5; 9.8%),31 (1; 3.1%),3 (-1; -50.0%)
O1-fipa-icf-functions,373 (12; 3.1%),299 (1; 0.3%),43 (8; 15.7%),29 (3; 9.4%),2 (0; 0.0%)
O1-fipa-icf-variables,373 (12; 3.1%),299 (1; 0.3%),43 (8; 15.7%),29 (3; 9.4%),2 (0; 0.0%)
O1-fipa-ra,382 (3; 0.8%),302 (-2; -0.7%),46 (5; 9.8%),31 (1; 3.1%),3 (-1; -50.0%)
O1-fipa-sra,381 (4; 1.0%),301 (-1; -0.3%),46 (5; 9.8%),31 (1; 3.1%),3 (-1; -50.0%)
O1-fipa-vrp,381 (4; 1.0%),301 (-1; -0.3%),46 (5; 9.8%),31 (1; 3.1%),3 (-1; -50.0%)
O1-fisolate-erroneous-paths-dereference,384 (1; 0.3%),297 (3; 1.0%),46 (5; 9.8%),39 (-7; -21.9%),2 (0; 0.0%)
O1-flra-remat,377 (8; 2.1%),299 (1; 0.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-foptimize-sibling-calls,400 (-15; -3.9%),306 (-6; -2.0%),59 (-8; -15.7%),25 (7; 21.9%),10 (-8; -400.0%)
O1-foptimize-strlen,346 (39; 10.1%),287 (13; 4.3%),32 (19; 37.3%),25 (7; 21.9%),2 (0; 0.0%)
O1-fpartial-inlining,377 (8; 2.1%),299 (1; 0.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-fpeephole2,380 (5; 1.3%),307 (-7; -2.3%),39 (12; 23.5%),33 (-1; -3.1%),1 (1; 50.0%)
O1-freorder-blocks-and-partition,372 (13; 3.4%),297 (3; 1.0%),42 (9; 17.6%),30 (2; 6.2%),3 (-1; -50.0%)
O1-freorder-functions,359 (26; 6.8%),297 (3; 1.0%),32 (19; 37.3%),27 (5; 15.6%),3 (-1; -50.0%)
O1-frerun-cse-after-loop,380 (5; 1.3%),297 (3; 1.0%),56 (-5; -9.8%),26 (6; 18.8%),1 (1; 50.0%)
O1-fschedule-insns2,364 (21; 5.5%),286 (14; 4.7%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-fstore-merging,376 (9; 2.3%),298 (2; 0.7%),49 (2; 3.9%),26 (6; 18.8%),3 (-1; -50.0%)
O1-fstrict-aliasing,363 (22; 5.7%),295 (5; 1.7%),42 (9; 17.6%),24 (8; 25.0%),2 (0; 0.0%)
O1-fstrict-overflow,381 (4; 1.0%),302 (-2; -0.7%),57 (-6; -11.8%),21 (11; 34.4%),1 (1; 50.0%)
O1-fthread-jumps,377 (8; 2.1%),299 (1; 0.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-ftree-pre,364 (21; 5.5%),308 (-8; -2.7%),32 (19; 37.3%),21 (11; 34.4%),3 (-1; -50.0%)
O1-ftree-switch-conversion,373 (12; 3.1%),299 (1; 0.3%),43 (8; 15.7%),29 (3; 9.4%),2 (0; 0.0%)
O1-ftree-tail-merge,377 (8; 2.1%),299 (1; 0.3%),41 (10; 19.6%),34 (-2; -6.2%),3 (-1; -50.0%)
O1-ftree-vrp,368 (17; 4.4%),308 (-8; -2.7%),37 (14; 27.5%),21 (11; 34.4%),2 (0; 0.0%)
