Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,0,0,2,0,0,0,0,0,0,0
O1-falign-labels,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fcaller-saves,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fcode-hoisting,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fcrossjumping,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fcse-follow-jumps,0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fdevirtualize,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fdevirtualize-speculatively,0 (0; 0.0%),1 (-1; 0.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fexpensive-optimizations,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fgcse,0 (0; 0.0%),0 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fhoist-adjacent-loads,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-findirect-inlining,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-finline-small-functions,0 (0; 0.0%),0 (0; 0.0%),3 (-1; -50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-fipa-bit-cp,0 (0; 0.0%),1 (-1; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
