Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,7292,1.818019747668678,1803,1.8571824736550193,3397,1.559317044450986
O1-falign-labels,7277 (15),1.8218359213961797 (-0.0038161737275017593),1701 (102),1.8415637860082306 (0.015618687646788754),3440 (-43),1.5861918604651162 (-0.02687481601413011)
O1-fcaller-saves,7183 (109),1.8478351663650285 (-0.029815418696350626),1778 (25),1.7831833520809899 (0.07399912157402944),3451 (-54),1.5512894813097653 (0.008027563141220773)
O1-fcode-hoisting,7338 (-46),1.8179340419732897 (8.570569538823847e-05),1725 (78),1.8608695652173912 (-0.0036870915623719025),3273 (124),1.5743965780629392 (-0.015079533611953133)
O1-fcrossjumping,7251 (41),1.8333333333333333 (-0.01531358566465535),1790 (13),1.8273743016759776 (0.02980817197904173),3369 (28),1.489462748590086 (0.06985429586090008)
O1-fcse-follow-jumps,7324 (-32),1.8288503549972692 (-0.010830607328591313),1804 (-1),1.9052106430155211 (-0.048028169360501805),3328 (69),1.5916466346153846 (-0.032329590164398514)
O1-fdevirtualize,7277 (15),1.8218359213961797 (-0.0038161737275017593),1701 (102),1.8415637860082306 (0.015618687646788754),3440 (-43),1.5861918604651162 (-0.02687481601413011)
O1-fdevirtualize-speculatively,7259 (33),1.8222206915553107 (-0.004200943886632835),1641 (162),1.840645947592931 (0.01653652606208822),3406 (-9),1.5713446858485027 (-0.012027641397516664)
O1-fexpensive-optimizations,7332 (-40),1.841380250954719 (-0.023360503286041112),1676 (127),1.751491646778043 (0.10569082687697628),3302 (95),1.5740460327074501 (-0.01472898825646407)
O1-fgcse,7096 (196),1.826381059751973 (-0.008361312083295047),1799 (4),1.867982212340189 (-0.010799738685169702),3312 (85),1.5416666666666667 (0.017650377784319327)
O1-fhoist-adjacent-loads,7327 (-35),1.824211819298485 (-0.006192071629807172),1746 (57),1.8324742268041236 (0.024708246850895677),3299 (98),1.5748711730827523 (-0.015554128631766195)
O1-findirect-inlining,7274 (18),1.8183255430299698 (-0.0003057953612919384),1704 (99),1.8330399061032865 (0.02414256755173283),3382 (15),1.5946185688941454 (-0.03530152444315937)
O1-finline-small-functions,6847 (445),1.8661457572659559 (-0.048126009597277974),1768 (35),1.8048642533936652 (0.05231822026135413),3558 (-161),1.6135469364811692 (-0.054229892030183136)
O1-fipa-bit-cp,7279 (13),1.8179008105508998 (0.00011893711777810623),1747 (56),1.8637664567830567 (-0.0065839831280374295),3383 (14),1.5857227313035767 (-0.026405686852590593)
O1-fipa-cp,7358 (-66),1.8094590921446045 (0.008560655524073368),1817 (-14),1.8464501926252064 (0.01073228102981294),3382 (15),1.6043761088113542 (-0.045059064360368106)
O1-fipa-icf,7304 (-12),1.8185240963855422 (-0.0005043487168643335),1731 (72),1.9145002888503755 (-0.05731781519535617),3377 (20),1.6362155759549897 (-0.07689853150400361)
O1-fipa-icf-functions,7306 (-14),1.8217903093347934 (-0.003770561666115446),1773 (30),1.8510998307952622 (0.006082642859757126),3420 (-23),1.6267543859649123 (-0.06743734151392622)
O1-fipa-icf-variables,7314 (-22),1.821233251298879 (-0.003213503630201009),1697 (106),1.7916912197996464 (0.06549125385537291),3372 (25),1.563167259786477 (-0.003850215335490903)
O1-fipa-ra,7303 (-11),1.8435574421470629 (-0.025537694478384942),1763 (40),1.8970504821327283 (-0.039868008477708994),3466 (-69),1.5991055972302366 (-0.03978855277925053)
O1-fipa-sra,7336 (-44),1.8300845147219194 (-0.012064767053241443),1688 (115),1.8904028436018958 (-0.033220369946876493),3298 (99),1.5577622801698 (0.0015547642811861717)
O1-fipa-vrp,7288 (4),1.8232025246981338 (-0.0051827770294559095),1750 (53),1.856 (0.0011824736550192227),3478 (-81),1.5979010925819437 (-0.038584048130957616)
O1-fisolate-erroneous-paths-dereference,7316 (-24),1.821555494805905 (-0.003535747137227041),1661 (142),1.982239614689946 (-0.1250571410349266),3580 (-183),1.6290502793296089 (-0.06973323487862282)
O1-flra-remat,7251 (41),1.833678113363674 (-0.015658365694996013),1794 (9),1.8076923076923077 (0.04949016596271161),3357 (40),1.579982126899017 (-0.020665082448031002)
O1-foptimize-sibling-calls,7229 (63),1.8071655830681976 (0.010854164600480276),1832 (-29),1.8078602620087336 (0.049322211646285696),3381 (16),1.624519372966578 (-0.06520232851559182)
O1-foptimize-strlen,7305 (-13),1.8166324435318275 (0.001387304136850398),1846 (-43),1.8187973997833153 (0.03838507387170398),3322 (75),1.5940698374473208 (-0.034752792996334714)
O1-fpartial-inlining,7246 (46),1.8345293955285675 (-0.01650964785988962),1928 (-125),1.8890041493775933 (-0.031821675722573994),3417 (-20),1.6196956394498099 (-0.06037859499882381)
O1-fpeephole2,7847 (-555),1.8511533069963044 (-0.033133559327626516),1587 (216),1.8928796471329552 (-0.035697173477935884),3473 (-76),1.5312410020155485 (0.028076042435437598)
O1-freorder-blocks-and-partition,7259 (33),1.8222206915553107 (-0.004200943886632835),1641 (162),1.840645947592931 (0.01653652606208822),3407 (-10),1.5708834751981215 (-0.011566430747135481)
O1-freorder-functions,7295 (-3),1.824537354352296 (-0.006517606683618116),1747 (56),1.8317115054378936 (0.02547096821712569),3575 (-178),1.6334265734265734 (-0.07410952897558731)
O1-frerun-cse-after-loop,7392 (-100),1.8378652597402598 (-0.019845512071581917),1703 (100),1.9415736934820904 (-0.0843912198270711),3479 (-82),1.6085081920091981 (-0.04919114755821208)
O1-fschedule-insns2,7152 (140),1.8514401565995526 (-0.03342040893087472),1765 (38),1.865155807365439 (-0.00797333371041975),3201 (196),1.5532646048109966 (0.006052439639989471)
O1-fstore-merging,7397 (-105),1.8181019332161688 (-8.218554749084284e-05),1811 (-8),1.8511871893981227 (0.00599528425689666),3425 (-28),1.5874452554744525 (-0.02812821102346641)
O1-fstrict-aliasing,7355 (-63),1.8399048266485385 (-0.021885078979860584),1709 (94),1.879461673493271 (-0.022279199838251662),3518 (-121),1.5874076179647527 (-0.028090573513766648)
O1-fstrict-overflow,7302 (-10),1.839769926047658 (-0.02175017837898019),1794 (9),1.8132664437012262 (0.04391602995379307),3327 (70),1.5628193567778779 (-0.003502312326891799)
O1-fthread-jumps,7295 (-3),1.8327621658670321 (-0.014742418198354201),1762 (41),1.9074914869466515 (-0.050309013291632176),3350 (47),1.6144776119402986 (-0.05516056748931253)
O1-ftree-pre,7231 (61),1.8795463974554003 (-0.0615266497867224),1814 (-11),1.8326901874310915 (0.02449228622392785),3389 (8),1.5427854824431986 (0.016531562007787493)
O1-ftree-switch-conversion,7301 (-9),1.825092453088618 (-0.007072705419939984),1805 (-2),1.8645429362880885 (-0.00736046263306922),3506 (-109),1.6498859098687964 (-0.09056886541781028)
O1-ftree-tail-merge,7314 (-22),1.8209598031173093 (-0.0029400554486314068),1689 (114),1.7871521610420367 (0.07003031261298265),3379 (18),1.5637762651672091 (-0.004459220716223067)
O1-ftree-vrp,7277 (15),1.841280747560808 (-0.02326099989213004),1804 (-1),1.8539356984478936 (0.003246775207125685),3448 (-51),1.58207656612529 (-0.02275952167430395)
