Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,12696,7292,1803,3397,204
O1-falign-labels,12613 (83; 0.7%),7277 (15; 0.2%),1701 (102; 5.7%),3440 (-43; -1.3%),195 (9; 4.4%)
O1-fcaller-saves,12625 (71; 0.6%),7183 (109; 1.5%),1778 (25; 1.4%),3451 (-54; -1.6%),213 (-9; -4.4%)
O1-fcode-hoisting,12533 (163; 1.3%),7338 (-46; -0.6%),1725 (78; 4.3%),3273 (124; 3.7%),197 (7; 3.4%)
O1-fcrossjumping,12574 (122; 1.0%),7251 (41; 0.6%),1790 (13; 0.7%),3369 (28; 0.8%),164 (40; 19.6%)
O1-fcse-follow-jumps,12659 (37; 0.3%),7324 (-32; -0.4%),1804 (-1; -0.1%),3328 (69; 2.0%),203 (1; 0.5%)
O1-fdevirtualize,12613 (83; 0.7%),7277 (15; 0.2%),1701 (102; 5.7%),3440 (-43; -1.3%),195 (9; 4.4%)
O1-fdevirtualize-speculatively,12488 (208; 1.6%),7259 (33; 0.5%),1641 (162; 9.0%),3406 (-9; -0.3%),182 (22; 10.8%)
O1-fexpensive-optimizations,12505 (191; 1.5%),7332 (-40; -0.5%),1676 (127; 7.0%),3302 (95; 2.8%),195 (9; 4.4%)
O1-fgcse,12422 (274; 2.2%),7096 (196; 2.7%),1799 (4; 0.2%),3312 (85; 2.5%),215 (-11; -5.4%)
O1-fhoist-adjacent-loads,12569 (127; 1.0%),7327 (-35; -0.5%),1746 (57; 3.2%),3299 (98; 2.9%),197 (7; 3.4%)
O1-findirect-inlining,12565 (131; 1.0%),7274 (18; 0.2%),1704 (99; 5.5%),3382 (15; 0.4%),205 (-1; -0.5%)
O1-finline-small-functions,12357 (339; 2.7%),6847 (445; 6.1%),1768 (35; 1.9%),3558 (-161; -4.7%),184 (20; 9.8%)
O1-fipa-bit-cp,12613 (83; 0.7%),7279 (13; 0.2%),1747 (56; 3.1%),3383 (14; 0.4%),204 (0; 0.0%)
O1-fipa-cp,12756 (-60; -0.5%),7358 (-66; -0.9%),1817 (-14; -0.8%),3382 (15; 0.4%),199 (5; 2.5%)
O1-fipa-icf,12601 (95; 0.7%),7304 (-12; -0.2%),1731 (72; 4.0%),3377 (20; 0.6%),189 (15; 7.4%)
O1-fipa-icf-functions,12706 (-10; -0.1%),7306 (-14; -0.2%),1773 (30; 1.7%),3420 (-23; -0.7%),207 (-3; -1.5%)
O1-fipa-icf-variables,12581 (115; 0.9%),7314 (-22; -0.3%),1697 (106; 5.9%),3372 (25; 0.7%),198 (6; 2.9%)
O1-fipa-ra,12727 (-31; -0.2%),7303 (-11; -0.2%),1763 (40; 2.2%),3466 (-69; -2.0%),195 (9; 4.4%)
O1-fipa-sra,12503 (193; 1.5%),7336 (-44; -0.6%),1688 (115; 6.4%),3298 (99; 2.9%),181 (23; 11.3%)
O1-fipa-vrp,12703 (-7; -0.1%),7288 (4; 0.1%),1750 (53; 2.9%),3478 (-81; -2.4%),187 (17; 8.3%)
O1-fisolate-erroneous-paths-dereference,12757 (-61; -0.5%),7316 (-24; -0.3%),1661 (142; 7.9%),3580 (-183; -5.4%),200 (4; 2.0%)
O1-flra-remat,12593 (103; 0.8%),7251 (41; 0.6%),1794 (9; 0.5%),3357 (40; 1.2%),191 (13; 6.4%)
O1-foptimize-sibling-calls,12633 (63; 0.5%),7229 (63; 0.9%),1832 (-29; -1.6%),3381 (16; 0.5%),191 (13; 6.4%)
O1-foptimize-strlen,12695 (1; 0.0%),7305 (-13; -0.2%),1846 (-43; -2.4%),3322 (75; 2.2%),222 (-18; -8.8%)
O1-fpartial-inlining,12810 (-114; -0.9%),7246 (46; 0.6%),1928 (-125; -6.9%),3417 (-20; -0.6%),219 (-15; -7.4%)
O1-fpeephole2,13075 (-379; -3.0%),7847 (-555; -7.6%),1587 (216; 12.0%),3473 (-76; -2.2%),168 (36; 17.6%)
O1-freorder-blocks-and-partition,12489 (207; 1.6%),7259 (33; 0.5%),1641 (162; 9.0%),3407 (-10; -0.3%),182 (22; 10.8%)
O1-freorder-functions,12806 (-110; -0.9%),7295 (-3; -0.0%),1747 (56; 3.1%),3575 (-178; -5.2%),189 (15; 7.4%)
O1-frerun-cse-after-loop,12783 (-87; -0.7%),7392 (-100; -1.4%),1703 (100; 5.5%),3479 (-82; -2.4%),209 (-5; -2.5%)
O1-fschedule-insns2,12299 (397; 3.1%),7152 (140; 1.9%),1765 (38; 2.1%),3201 (196; 5.8%),181 (23; 11.3%)
O1-fstore-merging,12833 (-137; -1.1%),7397 (-105; -1.4%),1811 (-8; -0.4%),3425 (-28; -0.8%),200 (4; 2.0%)
O1-fstrict-aliasing,12794 (-98; -0.8%),7355 (-63; -0.9%),1709 (94; 5.2%),3518 (-121; -3.6%),212 (-8; -3.9%)
O1-fstrict-overflow,12625 (71; 0.6%),7302 (-10; -0.1%),1794 (9; 0.5%),3327 (70; 2.1%),202 (2; 1.0%)
O1-fthread-jumps,12593 (103; 0.8%),7295 (-3; -0.0%),1762 (41; 2.3%),3350 (47; 1.4%),186 (18; 8.8%)
O1-ftree-pre,12631 (65; 0.5%),7231 (61; 0.8%),1814 (-11; -0.6%),3389 (8; 0.2%),197 (7; 3.4%)
O1-ftree-switch-conversion,12820 (-124; -1.0%),7301 (-9; -0.1%),1805 (-2; -0.1%),3506 (-109; -3.2%),208 (-4; -2.0%)
O1-ftree-tail-merge,12579 (117; 0.9%),7314 (-22; -0.3%),1689 (114; 6.3%),3379 (18; 0.5%),197 (7; 3.4%)
O1-ftree-vrp,12732 (-36; -0.3%),7277 (15; 0.2%),1804 (-1; -0.1%),3448 (-51; -1.5%),203 (1; 0.5%)
