Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,495,389,59,42,5
O1-falign-labels,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fcaller-saves,492 (3; 0.6%),356 (33; 8.5%),59 (0; 0.0%),71 (-29; -69.0%),6 (-1; -20.0%)
O1-fcode-hoisting,485 (10; 2.0%),358 (31; 8.0%),73 (-14; -23.7%),50 (-8; -19.0%),4 (1; 20.0%)
O1-fcrossjumping,474 (21; 4.2%),372 (17; 4.4%),59 (0; 0.0%),41 (1; 2.4%),2 (3; 60.0%)
O1-fcse-follow-jumps,496 (-1; -0.2%),386 (3; 0.8%),56 (3; 5.1%),45 (-3; -7.1%),9 (-4; -80.0%)
O1-fdevirtualize,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fdevirtualize-speculatively,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fexpensive-optimizations,469 (26; 5.3%),370 (19; 4.9%),46 (13; 22.0%),48 (-6; -14.3%),5 (0; 0.0%)
O1-fgcse,496 (-1; -0.2%),381 (8; 2.1%),50 (9; 15.3%),59 (-17; -40.5%),6 (-1; -20.0%)
O1-fhoist-adjacent-loads,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-findirect-inlining,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-finline-small-functions,450 (45; 9.1%),363 (26; 6.7%),40 (19; 32.2%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-bit-cp,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-cp,483 (12; 2.4%),379 (10; 2.6%),57 (2; 3.4%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-icf,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-icf-functions,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-icf-variables,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-ra,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-sra,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fipa-vrp,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fisolate-erroneous-paths-dereference,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-flra-remat,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-foptimize-sibling-calls,504 (-9; -1.8%),393 (-4; -1.0%),54 (5; 8.5%),53 (-11; -26.2%),4 (1; 20.0%)
O1-foptimize-strlen,481 (14; 2.8%),375 (14; 3.6%),54 (5; 8.5%),49 (-7; -16.7%),3 (2; 40.0%)
O1-fpartial-inlining,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-fpeephole2,489 (6; 1.2%),372 (17; 4.4%),64 (-5; -8.5%),51 (-9; -21.4%),2 (3; 60.0%)
O1-freorder-blocks-and-partition,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-freorder-functions,483 (12; 2.4%),374 (15; 3.9%),45 (14; 23.7%),62 (-20; -47.6%),2 (3; 60.0%)
O1-frerun-cse-after-loop,493 (2; 0.4%),368 (21; 5.4%),64 (-5; -8.5%),56 (-14; -33.3%),5 (0; 0.0%)
O1-fschedule-insns2,475 (20; 4.0%),371 (18; 4.6%),56 (3; 5.1%),40 (2; 4.8%),8 (-3; -60.0%)
O1-fstore-merging,498 (-3; -0.6%),385 (4; 1.0%),60 (-1; -1.7%),49 (-7; -16.7%),4 (1; 20.0%)
O1-fstrict-aliasing,478 (17; 3.4%),384 (5; 1.3%),46 (13; 22.0%),44 (-2; -4.8%),4 (1; 20.0%)
O1-fstrict-overflow,471 (24; 4.8%),366 (23; 5.9%),52 (7; 11.9%),48 (-6; -14.3%),5 (0; 0.0%)
O1-fthread-jumps,470 (25; 5.1%),388 (1; 0.3%),39 (20; 33.9%),41 (1; 2.4%),2 (3; 60.0%)
O1-ftree-pre,490 (5; 1.0%),367 (22; 5.7%),65 (-6; -10.2%),50 (-8; -19.0%),8 (-3; -60.0%)
O1-ftree-switch-conversion,503 (-8; -1.6%),390 (-1; -0.3%),68 (-9; -15.3%),41 (1; 2.4%),4 (1; 20.0%)
O1-ftree-tail-merge,495 (0; 0.0%),389 (0; 0.0%),59 (0; 0.0%),42 (0; 0.0%),5 (0; 0.0%)
O1-ftree-vrp,475 (20; 4.0%),363 (26; 6.7%),71 (-12; -20.3%),39 (3; 7.1%),2 (3; 60.0%)
