Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,4363,2027,1021,1245,70
O1-falign-labels,4371 (-8; -0.2%),2037 (-10; -0.5%),991 (30; 2.9%),1279 (-34; -2.7%),64 (6; 8.6%)
O1-fcaller-saves,4391 (-28; -0.6%),2061 (-34; -1.7%),961 (60; 5.9%),1287 (-42; -3.4%),82 (-12; -17.1%)
O1-fcode-hoisting,4410 (-47; -1.1%),2056 (-29; -1.4%),1010 (11; 1.1%),1277 (-32; -2.6%),67 (3; 4.3%)
O1-fcrossjumping,4429 (-66; -1.5%),2117 (-90; -4.4%),1018 (3; 0.3%),1246 (-1; -0.1%),48 (22; 31.4%)
O1-fcse-follow-jumps,4335 (28; 0.6%),2072 (-45; -2.2%),1021 (0; 0.0%),1175 (70; 5.6%),67 (3; 4.3%)
O1-fdevirtualize,4371 (-8; -0.2%),2037 (-10; -0.5%),991 (30; 2.9%),1279 (-34; -2.7%),64 (6; 8.6%)
O1-fdevirtualize-speculatively,4377 (-14; -0.3%),2055 (-28; -1.4%),1011 (10; 1.0%),1248 (-3; -0.2%),63 (7; 10.0%)
O1-fexpensive-optimizations,4422 (-59; -1.4%),2060 (-33; -1.6%),1006 (15; 1.5%),1288 (-43; -3.5%),68 (2; 2.9%)
O1-fgcse,4320 (43; 1.0%),2036 (-9; -0.4%),964 (57; 5.6%),1257 (-12; -1.0%),63 (7; 10.0%)
O1-fhoist-adjacent-loads,4385 (-22; -0.5%),2034 (-7; -0.3%),1051 (-30; -2.9%),1238 (7; 0.6%),62 (8; 11.4%)
O1-findirect-inlining,4393 (-30; -0.7%),2034 (-7; -0.3%),1061 (-40; -3.9%),1235 (10; 0.8%),63 (7; 10.0%)
O1-finline-small-functions,4207 (156; 3.6%),1982 (45; 2.2%),963 (58; 5.7%),1205 (40; 3.2%),57 (13; 18.6%)
O1-fipa-bit-cp,4343 (20; 0.5%),2039 (-12; -0.6%),1019 (2; 0.2%),1230 (15; 1.2%),55 (15; 21.4%)
O1-fipa-cp,4307 (56; 1.3%),2067 (-40; -2.0%),971 (50; 4.9%),1211 (34; 2.7%),58 (12; 17.1%)
O1-fipa-icf,4374 (-11; -0.3%),2039 (-12; -0.6%),1040 (-19; -1.9%),1239 (6; 0.5%),56 (14; 20.0%)
O1-fipa-icf-functions,4391 (-28; -0.6%),2034 (-7; -0.3%),1059 (-38; -3.7%),1235 (10; 0.8%),63 (7; 10.0%)
O1-fipa-icf-variables,4393 (-30; -0.7%),2034 (-7; -0.3%),1061 (-40; -3.9%),1235 (10; 0.8%),63 (7; 10.0%)
O1-fipa-ra,4349 (14; 0.3%),2042 (-15; -0.7%),1019 (2; 0.2%),1233 (12; 1.0%),55 (15; 21.4%)
O1-fipa-sra,4451 (-88; -2.0%),2078 (-51; -2.5%),1046 (-25; -2.4%),1259 (-14; -1.1%),68 (2; 2.9%)
O1-fipa-vrp,4370 (-7; -0.2%),2035 (-8; -0.4%),1040 (-19; -1.9%),1239 (6; 0.5%),56 (14; 20.0%)
O1-fisolate-erroneous-paths-dereference,4390 (-27; -0.6%),2064 (-37; -1.8%),1013 (8; 0.8%),1248 (-3; -0.2%),65 (5; 7.1%)
O1-flra-remat,4346 (17; 0.4%),2038 (-11; -0.5%),1012 (9; 0.9%),1242 (3; 0.2%),54 (16; 22.9%)
O1-foptimize-sibling-calls,4192 (171; 3.9%),2106 (-79; -3.9%),847 (174; 17.0%),1171 (74; 5.9%),68 (2; 2.9%)
O1-foptimize-strlen,4427 (-64; -1.5%),2084 (-57; -2.8%),1049 (-28; -2.7%),1224 (21; 1.7%),70 (0; 0.0%)
O1-fpartial-inlining,4328 (35; 0.8%),2071 (-44; -2.2%),952 (69; 6.8%),1239 (6; 0.5%),66 (4; 5.7%)
O1-fpeephole2,4576 (-213; -4.9%),2138 (-111; -5.5%),1060 (-39; -3.8%),1314 (-69; -5.5%),64 (6; 8.6%)
O1-freorder-blocks-and-partition,4385 (-22; -0.5%),2055 (-28; -1.4%),1017 (4; 0.4%),1250 (-5; -0.4%),63 (7; 10.0%)
O1-freorder-functions,4296 (67; 1.5%),2019 (8; 0.4%),960 (61; 6.0%),1260 (-15; -1.2%),57 (13; 18.6%)
O1-frerun-cse-after-loop,4468 (-105; -2.4%),2103 (-76; -3.7%),993 (28; 2.7%),1306 (-61; -4.9%),66 (4; 5.7%)
O1-fschedule-insns2,4434 (-71; -1.6%),2040 (-13; -0.6%),1011 (10; 1.0%),1313 (-68; -5.5%),70 (0; 0.0%)
O1-fstore-merging,4387 (-24; -0.6%),2048 (-21; -1.0%),1002 (19; 1.9%),1272 (-27; -2.2%),65 (5; 7.1%)
O1-fstrict-aliasing,4340 (23; 0.5%),2030 (-3; -0.1%),1007 (14; 1.4%),1237 (8; 0.6%),66 (4; 5.7%)
O1-fstrict-overflow,4452 (-89; -2.0%),2043 (-16; -0.8%),1035 (-14; -1.4%),1306 (-61; -4.9%),68 (2; 2.9%)
O1-fthread-jumps,4371 (-8; -0.2%),2037 (-10; -0.5%),991 (30; 2.9%),1279 (-34; -2.7%),64 (6; 8.6%)
O1-ftree-pre,4361 (2; 0.0%),2131 (-104; -5.1%),942 (79; 7.7%),1217 (28; 2.2%),71 (-1; -1.4%)
O1-ftree-switch-conversion,4419 (-56; -1.3%),2060 (-33; -1.6%),1038 (-17; -1.7%),1250 (-5; -0.4%),71 (-1; -1.4%)
O1-ftree-tail-merge,4376 (-13; -0.3%),2036 (-9; -0.4%),1036 (-15; -1.5%),1243 (2; 0.2%),61 (9; 12.9%)
O1-ftree-vrp,4370 (-7; -0.2%),2109 (-82; -4.0%),962 (59; 5.8%),1225 (20; 1.6%),74 (-4; -5.7%)
