Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,3,15,19,0,2,11,11,0,0,9
O1-falign-labels,5 (-2; -66.7%),16 (-1; -6.7%),17 (2; 10.5%),0 (0; 0.0%),1 (1; 50.0%),8 (3; 27.3%),9 (2; 18.2%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-fcaller-saves,5 (-2; -66.7%),13 (2; 13.3%),21 (-2; -10.5%),0 (0; 0.0%),5 (-3; -150.0%),13 (-2; -18.2%),17 (-6; -54.5%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-fcode-hoisting,7 (-4; -133.3%),13 (2; 13.3%),20 (-1; -5.3%),0 (0; 0.0%),0 (2; 100.0%),12 (-1; -9.1%),8 (3; 27.3%),0 (0; 0.0%),0 (0; 0.0%),7 (2; 22.2%)
O1-fcrossjumping,3 (0; 0.0%),8 (7; 46.7%),14 (5; 26.3%),0 (0; 0.0%),0 (2; 100.0%),7 (4; 36.4%),7 (4; 36.4%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fcse-follow-jumps,3 (0; 0.0%),6 (9; 60.0%),18 (1; 5.3%),0 (0; 0.0%),1 (1; 50.0%),15 (-4; -36.4%),14 (-3; -27.3%),0 (0; 0.0%),0 (0; 0.0%),10 (-1; -11.1%)
O1-fdevirtualize,5 (-2; -66.7%),16 (-1; -6.7%),17 (2; 10.5%),0 (0; 0.0%),1 (1; 50.0%),8 (3; 27.3%),9 (2; 18.2%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-fdevirtualize-speculatively,3 (0; 0.0%),11 (4; 26.7%),13 (6; 31.6%),0 (0; 0.0%),1 (1; 50.0%),11 (0; 0.0%),15 (-4; -36.4%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fexpensive-optimizations,4 (-1; -33.3%),14 (1; 6.7%),21 (-2; -10.5%),0 (0; 0.0%),0 (2; 100.0%),10 (1; 9.1%),10 (1; 9.1%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fgcse,3 (0; 0.0%),9 (6; 40.0%),13 (6; 31.6%),0 (0; 0.0%),3 (-1; -50.0%),7 (4; 36.4%),17 (-6; -54.5%),0 (0; 0.0%),0 (0; 0.0%),11 (-2; -22.2%)
O1-fhoist-adjacent-loads,4 (-1; -33.3%),11 (4; 26.7%),19 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),5 (6; 54.5%),11 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-1; -11.1%)
O1-findirect-inlining,4 (-1; -33.3%),11 (4; 26.7%),19 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%),5 (6; 54.5%),11 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),11 (-2; -22.2%)
