Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,9 of 11,35 of 35,16 of 17
O1-falign-labels,9 (0),35 (0),16 (0)
O1-fcaller-saves,9 (0),32 (3),15 (1)
O1-fcode-hoisting,9 (0),33 (2),14 (2)
O1-fcrossjumping,9 (0),33 (2),15 (1)
O1-fcse-follow-jumps,9 (0),33 (2),15 (1)
O1-fdevirtualize,9 (0),35 (0),16 (0)
O1-fdevirtualize-speculatively,9 (0),35 (0),16 (0)
O1-fexpensive-optimizations,9 (0),35 (0),16 (0)
O1-fgcse,9 (0),34 (1),16 (0)
O1-fhoist-adjacent-loads,9 (0),35 (0),16 (0)
O1-findirect-inlining,9 (0),35 (0),16 (0)
O1-finline-small-functions,9 (0),34 (1),14 (2)
O1-fipa-bit-cp,9 (0),35 (0),16 (0)
O1-fipa-cp,9 (0),33 (2),15 (1)
O1-fipa-icf,9 (0),35 (0),16 (0)
O1-fipa-icf-functions,9 (0),35 (0),16 (0)
O1-fipa-icf-variables,9 (0),35 (0),16 (0)
O1-fipa-ra,9 (0),34 (1),14 (2)
O1-fipa-sra,9 (0),34 (1),15 (1)
O1-fipa-vrp,9 (0),35 (0),16 (0)
O1-fisolate-erroneous-paths-dereference,9 (0),35 (0),16 (0)
O1-flra-remat,9 (0),34 (1),15 (1)
O1-foptimize-sibling-calls,9 (0),33 (2),15 (1)
O1-foptimize-strlen,9 (0),34 (1),15 (1)
O1-fpartial-inlining,9 (0),35 (0),16 (0)
O1-fpeephole2,10 (-1),35 (0),15 (1)
O1-freorder-blocks-and-partition,9 (0),35 (0),16 (0)
O1-freorder-functions,9 (0),33 (2),14 (2)
O1-frerun-cse-after-loop,9 (0),33 (2),13 (3)
O1-fschedule-insns2,9 (0),34 (1),15 (1)
O1-fstore-merging,9 (0),34 (1),15 (1)
O1-fstrict-aliasing,9 (0),34 (1),15 (1)
O1-fstrict-overflow,9 (0),33 (2),13 (3)
O1-fthread-jumps,9 (0),34 (1),14 (2)
O1-ftree-pre,9 (0),34 (1),15 (1)
O1-ftree-switch-conversion,9 (0),35 (0),15 (1)
O1-ftree-tail-merge,9 (0),35 (0),16 (0)
O1-ftree-vrp,9 (0),32 (3),14 (2)
