Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,1825,1.306027397260274,610,1.631967213114754,2938,2.1478897208985703
O1-falign-labels,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fcaller-saves,1860 (-35),1.3126344086021506 (-0.006607011341876579),547 (63),1.6435100548446069 (-0.01154284172985287),3076 (-138),2.1063068920676202 (0.0415828288309501)
O1-fcode-hoisting,1840 (-15),1.320108695652174 (-0.014081298391899866),602 (8),1.6187707641196014 (0.013196448995152599),3030 (-92),2.1356435643564358 (0.012246156542134568)
O1-fcrossjumping,1828 (-3),1.3008752735229758 (0.005152123737298231),495 (115),1.5494949494949495 (0.08247226361980453),2927 (11),2.151007857874957 (-0.003118136976386854)
O1-fcse-follow-jumps,1844 (-19),1.3110086767895879 (-0.00498127952931382),557 (53),1.7459605026929983 (-0.11399328957824428),2973 (-35),2.0798856374032964 (0.06800408349527398)
O1-fdevirtualize,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fdevirtualize-speculatively,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fexpensive-optimizations,1917 (-92),1.312206572769953 (-0.006179175509678947),609 (1),1.6559934318555007 (-0.02402621874074673),3054 (-116),2.1164047151277012 (0.0314850057708691)
O1-fgcse,1846 (-21),1.3066088840736727 (-0.0005814868133986462),617 (-7),1.812803889789303 (-0.18083667667454906),3336 (-398),1.8615107913669064 (0.2863789295316639)
O1-fhoist-adjacent-loads,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-findirect-inlining,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-finline-small-functions,1812 (13),1.3272626931567328 (-0.021235295896458783),520 (90),1.375 (0.256967213114754),3003 (-65),2.208957708957709 (-0.06106798805913849)
O1-fipa-bit-cp,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fipa-cp,1809 (16),1.3175787728026533 (-0.011551375542379283),576 (34),1.5598958333333333 (0.07207137978142075),2959 (-21),2.1584994930719836 (-0.010609772173413301)
O1-fipa-icf,1824 (1),1.3048245614035088 (0.001202835856765283),611 (-1),1.635024549918167 (-0.0030573368034130244),2938 (0),2.1478897208985703 (0.0)
O1-fipa-icf-functions,1824 (1),1.3048245614035088 (0.001202835856765283),611 (-1),1.635024549918167 (-0.0030573368034130244),2938 (0),2.1478897208985703 (0.0)
O1-fipa-icf-variables,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fipa-ra,1787 (38),1.3035814213766088 (0.002445975883665241),616 (-6),1.5957792207792207 (0.03618799233553327),2957 (-19),2.137132228610078 (0.010757492288492543)
O1-fipa-sra,1824 (1),1.3108552631578947 (-0.004827865897620631),598 (12),1.641304347826087 (-0.009337134711332906),2920 (18),2.1417808219178083 (0.006108898980762056)
O1-fipa-vrp,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fisolate-erroneous-paths-dereference,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-flra-remat,1790 (35),1.288826815642458 (0.017200581617816013),573 (37),1.706806282722513 (-0.07483906960775899),2933 (5),2.1380838731674054 (0.009805847731164885)
O1-foptimize-sibling-calls,1837 (-12),1.291780076211214 (0.014247321049060124),616 (-6),1.7743506493506493 (-0.14238343623589533),2904 (34),2.122761707988981 (0.025128012909589437)
O1-foptimize-strlen,1811 (14),1.3075648812810603 (-0.0015374840207862395),574 (36),1.6977351916376306 (-0.06576797852287664),2923 (15),2.1431748203900103 (0.004714900508560049)
O1-fpartial-inlining,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-fpeephole2,1873 (-48),1.3638547784303257 (-0.057827381170051595),543 (67),1.6777163904235728 (-0.04574917730881878),2985 (-47),2.2 (-0.052110279101429846)
O1-freorder-blocks-and-partition,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-freorder-functions,1819 (6),1.3108851017042331 (-0.004857704443959054),572 (38),1.687062937062937 (-0.05509572394818307),2958 (-20),2.1313387423935093 (0.016550978505061043)
O1-frerun-cse-after-loop,1843 (-18),1.300596852957135 (0.005430544303139051),565 (45),1.763716814159292 (-0.13174960104453803),2942 (-4),2.124915023793338 (0.022974697105232256)
O1-fschedule-insns2,1824 (1),1.2563048245614035 (0.04972257269887059),645 (-35),1.8992248062015504 (-0.2672575930867964),3375 (-437),1.8598518518518519 (0.28803786904671846)
O1-fstore-merging,1832 (-7),1.3236899563318778 (-0.017662559071603745),539 (71),1.7421150278293136 (-0.11014781471455959),2937 (1),2.1365338781069116 (0.011355842791658688)
O1-fstrict-aliasing,1826 (-1),1.316538882803943 (-0.010511485543668986),540 (70),1.7787037037037037 (-0.14673649058894966),2984 (-46),2.139745308310992 (0.008144412587578476)
O1-fstrict-overflow,1819 (6),1.311434854315558 (-0.005407457055284004),547 (63),1.6882998171846435 (-0.05633260406988949),2965 (-27),2.123102866779089 (0.024786854119481116)
O1-fthread-jumps,1791 (34),1.3068118369625907 (-0.0007844397023166749),583 (27),1.4777015437392795 (0.15426566937547448),2917 (21),2.13232773397326 (0.0155619869253103)
O1-ftree-pre,1859 (-34),1.3270575578267887 (-0.021030160566514633),614 (-4),1.5814332247557004 (0.05053398835905365),3103 (-165),2.135675153077667 (0.012214567820903355)
O1-ftree-switch-conversion,1817 (8),1.3238855255916346 (-0.01785812833136058),557 (53),1.7684021543985637 (-0.13643494128380973),2882 (56),2.1396599583622486 (0.008229762536321683)
O1-ftree-tail-merge,1825 (0),1.306027397260274 (0.0),610 (0),1.631967213114754 (0.0),2938 (0),2.1478897208985703 (0.0)
O1-ftree-vrp,1861 (-36),1.3310048361096185 (-0.024977438849344447),543 (67),1.6141804788213627 (0.017786734293391282),2928 (10),2.1533469945355193 (-0.005457273636948923)
