Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,5448,1825,610,2938,75
O1-falign-labels,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fcaller-saves,5563 (-115; -2.1%),1860 (-35; -1.9%),547 (63; 10.3%),3076 (-138; -4.7%),80 (-5; -6.7%)
O1-fcode-hoisting,5545 (-97; -1.8%),1840 (-15; -0.8%),602 (8; 1.3%),3030 (-92; -3.1%),73 (2; 2.7%)
O1-fcrossjumping,5327 (121; 2.2%),1828 (-3; -0.2%),495 (115; 18.9%),2927 (11; 0.4%),77 (-2; -2.7%)
O1-fcse-follow-jumps,5447 (1; 0.0%),1844 (-19; -1.0%),557 (53; 8.7%),2973 (-35; -1.2%),73 (2; 2.7%)
O1-fdevirtualize,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fdevirtualize-speculatively,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fexpensive-optimizations,5663 (-215; -3.9%),1917 (-92; -5.0%),609 (1; 0.2%),3054 (-116; -3.9%),83 (-8; -10.7%)
O1-fgcse,5871 (-423; -7.8%),1846 (-21; -1.2%),617 (-7; -1.1%),3336 (-398; -13.5%),72 (3; 4.0%)
O1-fhoist-adjacent-loads,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-findirect-inlining,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-finline-small-functions,5424 (24; 0.4%),1812 (13; 0.7%),520 (90; 14.8%),3003 (-65; -2.2%),89 (-14; -18.7%)
O1-fipa-bit-cp,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fipa-cp,5419 (29; 0.5%),1809 (16; 0.9%),576 (34; 5.6%),2959 (-21; -0.7%),75 (0; 0.0%)
O1-fipa-icf,5447 (1; 0.0%),1824 (1; 0.1%),611 (-1; -0.2%),2938 (0; 0.0%),74 (1; 1.3%)
O1-fipa-icf-functions,5447 (1; 0.0%),1824 (1; 0.1%),611 (-1; -0.2%),2938 (0; 0.0%),74 (1; 1.3%)
O1-fipa-icf-variables,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fipa-ra,5448 (0; 0.0%),1787 (38; 2.1%),616 (-6; -1.0%),2957 (-19; -0.6%),88 (-13; -17.3%)
O1-fipa-sra,5420 (28; 0.5%),1824 (1; 0.1%),598 (12; 2.0%),2920 (18; 0.6%),78 (-3; -4.0%)
O1-fipa-vrp,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fisolate-erroneous-paths-dereference,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-flra-remat,5376 (72; 1.3%),1790 (35; 1.9%),573 (37; 6.1%),2933 (5; 0.2%),80 (-5; -6.7%)
O1-foptimize-sibling-calls,5452 (-4; -0.1%),1837 (-12; -0.7%),616 (-6; -1.0%),2904 (34; 1.2%),95 (-20; -26.7%)
O1-foptimize-strlen,5388 (60; 1.1%),1811 (14; 0.8%),574 (36; 5.9%),2923 (15; 0.5%),80 (-5; -6.7%)
O1-fpartial-inlining,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-fpeephole2,5491 (-43; -0.8%),1873 (-48; -2.6%),543 (67; 11.0%),2985 (-47; -1.6%),90 (-15; -20.0%)
O1-freorder-blocks-and-partition,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-freorder-functions,5424 (24; 0.4%),1819 (6; 0.3%),572 (38; 6.2%),2958 (-20; -0.7%),75 (0; 0.0%)
O1-frerun-cse-after-loop,5420 (28; 0.5%),1843 (-18; -1.0%),565 (45; 7.4%),2942 (-4; -0.1%),70 (5; 6.7%)
O1-fschedule-insns2,5923 (-475; -8.7%),1824 (1; 0.1%),645 (-35; -5.7%),3375 (-437; -14.9%),79 (-4; -5.3%)
O1-fstore-merging,5392 (56; 1.0%),1832 (-7; -0.4%),539 (71; 11.6%),2937 (1; 0.0%),84 (-9; -12.0%)
O1-fstrict-aliasing,5430 (18; 0.3%),1826 (-1; -0.1%),540 (70; 11.5%),2984 (-46; -1.6%),80 (-5; -6.7%)
O1-fstrict-overflow,5414 (34; 0.6%),1819 (6; 0.3%),547 (63; 10.3%),2965 (-27; -0.9%),83 (-8; -10.7%)
O1-fthread-jumps,5371 (77; 1.4%),1791 (34; 1.9%),583 (27; 4.4%),2917 (21; 0.7%),80 (-5; -6.7%)
O1-ftree-pre,5651 (-203; -3.7%),1859 (-34; -1.9%),614 (-4; -0.7%),3103 (-165; -5.6%),75 (0; 0.0%)
O1-ftree-switch-conversion,5329 (119; 2.2%),1817 (8; 0.4%),557 (53; 8.7%),2882 (56; 1.9%),73 (2; 2.7%)
O1-ftree-tail-merge,5448 (0; 0.0%),1825 (0; 0.0%),610 (0; 0.0%),2938 (0; 0.0%),75 (0; 0.0%)
O1-ftree-vrp,5418 (30; 0.6%),1861 (-36; -2.0%),543 (67; 11.0%),2928 (10; 0.3%),86 (-11; -14.7%)
