Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,3,2,12,0,4,6,35,0,0,13
O1-falign-labels,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fcaller-saves,3 (0; 0.0%),5 (-3; -150.0%),11 (1; 8.3%),0 (0; 0.0%),4 (0; 0.0%),9 (-3; -50.0%),34 (1; 2.9%),0 (0; 0.0%),0 (0; 0.0%),14 (-1; -7.7%)
O1-fcode-hoisting,3 (0; 0.0%),3 (-1; -50.0%),16 (-4; -33.3%),0 (0; 0.0%),0 (4; 100.0%),6 (0; 0.0%),30 (5; 14.3%),0 (0; 0.0%),0 (0; 0.0%),15 (-2; -15.4%)
O1-fcrossjumping,6 (-3; -100.0%),1 (1; 50.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),9 (-3; -50.0%),29 (6; 17.1%),0 (0; 0.0%),0 (0; 0.0%),16 (-3; -23.1%)
O1-fcse-follow-jumps,1 (2; 66.7%),2 (0; 0.0%),14 (-2; -16.7%),0 (0; 0.0%),1 (3; 75.0%),6 (0; 0.0%),38 (-3; -8.6%),0 (0; 0.0%),0 (0; 0.0%),11 (2; 15.4%)
O1-fdevirtualize,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fdevirtualize-speculatively,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fexpensive-optimizations,2 (1; 33.3%),3 (-1; -50.0%),14 (-2; -16.7%),0 (0; 0.0%),5 (-1; -25.0%),8 (-2; -33.3%),38 (-3; -8.6%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fgcse,1 (2; 66.7%),3 (-1; -50.0%),13 (-1; -8.3%),0 (0; 0.0%),2 (2; 50.0%),7 (-1; -16.7%),31 (4; 11.4%),0 (0; 0.0%),0 (0; 0.0%),15 (-2; -15.4%)
O1-fhoist-adjacent-loads,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-findirect-inlining,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-finline-small-functions,15 (-12; -400.0%),1 (1; 50.0%),13 (-1; -8.3%),0 (0; 0.0%),0 (4; 100.0%),9 (-3; -50.0%),36 (-1; -2.9%),0 (0; 0.0%),0 (0; 0.0%),15 (-2; -15.4%)
O1-fipa-bit-cp,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fipa-cp,4 (-1; -33.3%),5 (-3; -150.0%),11 (1; 8.3%),0 (0; 0.0%),3 (1; 25.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),11 (2; 15.4%)
O1-fipa-icf,3 (0; 0.0%),2 (0; 0.0%),11 (1; 8.3%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fipa-icf-functions,3 (0; 0.0%),2 (0; 0.0%),11 (1; 8.3%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fipa-icf-variables,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fipa-ra,3 (0; 0.0%),2 (0; 0.0%),10 (2; 16.7%),0 (0; 0.0%),6 (-2; -50.0%),11 (-5; -83.3%),43 (-8; -22.9%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fipa-sra,7 (-4; -133.3%),1 (1; 50.0%),12 (0; 0.0%),0 (0; 0.0%),1 (3; 75.0%),12 (-6; -100.0%),30 (5; 14.3%),0 (0; 0.0%),0 (0; 0.0%),15 (-2; -15.4%)
O1-fipa-vrp,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fisolate-erroneous-paths-dereference,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-flra-remat,3 (0; 0.0%),4 (-2; -100.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),8 (-2; -33.3%),36 (-1; -2.9%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-foptimize-sibling-calls,3 (0; 0.0%),4 (-2; -100.0%),25 (-13; -108.3%),0 (0; 0.0%),5 (-1; -25.0%),8 (-2; -33.3%),41 (-6; -17.1%),0 (0; 0.0%),0 (0; 0.0%),9 (4; 30.8%)
O1-foptimize-strlen,6 (-3; -100.0%),5 (-3; -150.0%),12 (0; 0.0%),0 (0; 0.0%),2 (2; 50.0%),9 (-3; -50.0%),34 (1; 2.9%),0 (0; 0.0%),0 (0; 0.0%),12 (1; 7.7%)
O1-fpartial-inlining,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-fpeephole2,0 (3; 100.0%),3 (-1; -50.0%),25 (-13; -108.3%),0 (0; 0.0%),2 (2; 50.0%),9 (-3; -50.0%),36 (-1; -2.9%),0 (0; 0.0%),0 (0; 0.0%),15 (-2; -15.4%)
O1-freorder-blocks-and-partition,3 (0; 0.0%),2 (0; 0.0%),12 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),13 (0; 0.0%)
O1-freorder-functions,3 (0; 0.0%),2 (0; 0.0%),11 (1; 8.3%),0 (0; 0.0%),3 (1; 25.0%),7 (-1; -16.7%),38 (-3; -8.6%),0 (0; 0.0%),0 (0; 0.0%),11 (2; 15.4%)
O1-frerun-cse-after-loop,0 (3; 100.0%),7 (-5; -250.0%),11 (1; 8.3%),0 (0; 0.0%),0 (4; 100.0%),6 (0; 0.0%),35 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),11 (2; 15.4%)
O1-fschedule-insns2,0 (3; 100.0%),1 (1; 50.0%),11 (1; 8.3%),0 (0; 0.0%),5 (-1; -25.0%),10 (-4; -66.7%),33 (2; 5.7%),0 (0; 0.0%),0 (0; 0.0%),19 (-6; -46.2%)
O1-fstore-merging,7 (-4; -133.3%),5 (-3; -150.0%),14 (-2; -16.7%),0 (0; 0.0%),3 (1; 25.0%),10 (-4; -66.7%),31 (4; 11.4%),0 (0; 0.0%),0 (0; 0.0%),14 (-1; -7.7%)
O1-fstrict-aliasing,4 (-1; -33.3%),6 (-4; -200.0%),13 (-1; -8.3%),0 (0; 0.0%),2 (2; 50.0%),8 (-2; -33.3%),33 (2; 5.7%),0 (0; 0.0%),0 (0; 0.0%),14 (-1; -7.7%)
O1-fstrict-overflow,3 (0; 0.0%),3 (-1; -50.0%),15 (-3; -25.0%),0 (0; 0.0%),4 (0; 0.0%),9 (-3; -50.0%),34 (1; 2.9%),0 (0; 0.0%),0 (0; 0.0%),15 (-2; -15.4%)
